"FITC-A","Texas Red-A"
191.06,213.2
104.96,183.68
2493.62,6840.44
36264.5,65032.6
91.02,258.3
118.9,363.26
363.26,1220.98
43032,56134.7
15831.7,31362.5
74583.9,74479
89.38,253.38
237.8,445.26
72.16,184.5
127.92,163.18
473.14,7780.16
207059,198447
41950.4,33624.1
106147,85920.4
63.96,433.78
160494,144784
413.28,14426.3
48.38,359.98
186.96,455.92
118.08,235.34
63.96,168.1
127.92,259.12
153.34,250.92
145892,133426
95.12,305.04
29092,29807.8
1111.92,28884.5
86.1,199.26
6154.92,35666.7
89.38,261.58
36929.5,45050
184.5,225.5
82.82,251.74
1650.66,20231
31594.6,24912.4
63.14,771.62
291.92,2356.68
231.24,296.84
1274.28,20596.8
19841.5,31730.7
3212.76,26052.2
36.08,446.9
2518.22,33900.4
91354.6,98399.2
181610,239429
45.92,211.56
246.82,693.72
73.8,225.5
567.44,27692.2
258.3,865.92
279.62,206.64
76.26,192.7
111.52,250.92
17.22,214.84
67.24,164.82
1405.48,1689.2
83.64,192.7
501.02,2517.4
101.68,279.62
2556.76,25615.2
84.46,305.04
6168.86,13978.5
-5.74,102.5
1978.66,8393.52
76.26,178.76
33608.5,29910.3
11055.2,39306.7
1281.66,4061.46
1494.86,6913.42
200.08,340.3
66884.1,72801.2
96.76,252.56
123189,112059
26326.9,37957
54.12,192.7
107.42,282.08
832.3,18221.2
722.42,15403.7
7704.72,25733.2
88200.8,74816.8
14546,16610.7
1936.02,6978.2
255.02,769.98
190.24,377.2
305.86,8892.9
127.92,276.34
82,121.36
141.04,359.16
3414.48,3725.26
5195.52,12313.9
212.38,3156.18
110.7,343.58
1696.58,6462.42
2668.28,6717.44
25903.8,11697.3
402.62,852.8
81.18,513.32
55750.2,61753.4
114478,96017.1
155852,150304
97.58,205
32323.6,43856.9
53855.1,41472.3
2531.34,3735.92
262143,262143
90.2,164
35034.5,26320.4
3056.14,22163
170.56,1312
136.94,332.92
103.32,228.78
49.2,390.32
93.48,183.68
7005.26,3631.78
118.08,208.28
186.14,227.96
157707,137727
135.3,249.28
100.04,200.9
87.74,218.94
346.04,428.86
86.92,180.4
177.94,1142.26
4054.08,11511.2
1789.24,628.94
93.48,159.08
15075.7,34310.4
7901.52,15803
691.26,9364.4
18777.2,50194.7
28356.4,74542.9
101957,100269
72827.5,52140.5
34628.6,59313.1
11353.7,51258.2
50.84,153.34
53729.7,39102.5
153.34,7935.96
136838,112420
141279,146647
158373,147829
138.58,189.42
86.92,159.08
64482.3,79376
3229.16,1571.12
406.72,12460.7
72.16,176.3
116.44,209.92
63.96,176.3
250.92,7300.46
113.98,314.88
100.04,270.6
100.04,298.48
70695.5,80234.5
715.04,1195.56
33911.9,46797.4
54.12,107.42
146118,145061
1184.9,6535.4
126.28,141.04
994.66,15270
95.94,209.92
106.6,209.1
43341.9,32762.3
262143,262143
59.04,150.88
404.26,17138
41.82,153.34
52.48,156.62
112.34,318.16
848.7,3530.92
38060.3,27981.7
128808,159810
207.46,565.8
1332.5,1547.34
438.7,11416
18342.6,11768.6
9971.2,17566.9
304.22,1599.82
68585.6,51222.1
164.82,965.96
98.4,202.54
764.24,15836.7
194037,173628
6295.14,5741.64
68.06,235.34
252.56,257.48
706.02,385.4
295.2,6222.98
100.86,284.54
734.72,1336.6
1360.38,51354.1
1709.7,30759
59.04,134.48
83.64,226.32
97.58,190.24
1121.76,6547.7
68138.7,65347.4
127.1,282.08
113.98,380.48
1524.38,8828.94
4172.98,7862.16
332.1,3171.76
1169.32,18185.1
52499.7,65616.4
232.88,8738.74
83.64,979.08
1290.68,23231.4
192099,223215
128878,130196
123.82,290.28
56621,79190.7
67965.7,52229.9
114.8,309.96
177.94,1781.04
106226,75491.7
627.3,16348.3
129.56,284.54
48228.3,50133.2
2153.32,5074.98
91.84,215.66
423.12,5483.34
994.66,3713.78
77.9,172.2
74156.7,46360.3
90.2,137.76
38611.3,24077.7
117.26,169.74
42306.3,51005.6
67.24,209.1
724.88,19365.1
68.88,227.96
4380.44,11725.2
60.68,209.1
130990,109208
196.8,7570.24
118.08,547.76
89366.9,99138.8
1064.36,1586.7
17256.1,37880.7
97.58,229.6
45370.6,44449.7
3713.78,28459.7
132.84,247.64
2012.28,13211
2979.06,4078.68
117.26,223.04
3884.34,6798.62
2942.98,12931.4
126.28,317.34
91.02,171.38
104.14,220.58
3705.58,19128.1
80.36,284.54
2285.34,18584.5
253.38,660.1
2698.62,5279.98
129.56,612.54
41524.8,40889.3
181837,200091
45.92,191.06
4860.96,19010.1
111.52,449.36
159.08,254.2
242.72,356.7
3102.88,3255.4
23414.3,35744.6
8190.98,19944.9
119194,135799
