"FITC-A","Texas Red-A"
36.08,121.36
35563.4,31511.8
178.76,412.46
176.3,278.8
5551.4,12995.4
151.7,427.22
101179,105035
100.04,215.66
174699,152558
186.14,330.46
163697,158643
5389.04,17400.4
140.22,993.84
94.3,219.76
66.42,231.24
297.66,784.74
4896.22,8597.7
76590.5,70208.4
89.38,169.74
82,161.54
86661.7,70707
222888,256481
63.14,157.44
176097,204599
63.14,218.12
36.08,1004.5
45.1,108.24
956.94,2551.02
61.5,95.94
101.68,191.06
118.08,1292.32
146955,103654
55.76,150.88
116.44,357.52
104.14,244.36
133547,127736
88.56,250.92
2206.62,1330.04
28315.4,10619.8
136.94,336.2
116.44,131.2
105.78,202.54
10630.5,78961.1
373.1,14589.4
5674.4,6603.46
74722.5,91300.4
8163.92,22493.4
669.94,573.18
262143,262143
8391.06,32869.7
1044.68,8181.14
86.1,195.16
15093.7,11490.7
347.68,10420.6
1808.92,11566.1
80599.4,71174.4
127.92,3285.74
887.24,15959.7
200.08,393.6
109.06,455.1
765.06,1794.98
104.14,366.54
15311,32662.2
89.38,253.38
1777.76,20266.3
53361.5,74085.4
152.52,3236.54
54221.7,45706.8
86.92,166.46
113.98,405.9
102.5,194.34
108.24,309.96
72.98,276.34
124.64,314.88
157020,155417
118782,109869
844.6,12781.3
278.8,975.8
50257,55141.7
262143,262143
138.58,220.58
160.72,303.4
346.86,481.34
70.52,282.08
174.66,305.04
332.92,4896.22
121.36,304.22
501.02,13356.2
25950.5,11843.3
23753.8,29639.7
250.92,518.24
1295.6,10885.5
133.66,297.66
19723.5,15411.9
141378,112260
101.68,195.98
976.62,1976.2
42.64,179.58
77020.1,98297.5
3105.34,6495.22
84.46,236.16
220818,209265
128.74,227.14
41920,33724.1
29517.5,26857.5
15644.8,11901.5
241233,262143
348.5,7907.26
65.6,182.86
12.3,124.64
46.74,184.5
1749.06,19467.6
5038.9,3683.44
577.28,385.4
30.34,150.88
96.76,219.76
178.76,355.06
13632.5,22413.1
1234.92,4343.54
99.22,347.68
2593.66,3776.92
104.96,213.2
296.84,10312.3
158626,161409
12517.3,6144.26
5769.52,3454.66
82,177.12
119.72,275.52
161.54,773.26
332.1,620.74
5471.04,7225.84
14362.3,52917.1
3075,36028.3
68.06,150.88
108.24,136.94
29120.7,43908.5
53.3,180.4
402.62,15407.8
50.84,186.96
154203,139976
-0.82,143.5
2061.48,34407.2
62277.4,73996
120.54,15136.4
93.48,211.56
75987.8,109302
122.18,305.86
176804,197664
1275.92,1373.5
30969.8,36172.7
92.66,216.48
1972.1,4919.18
3989.3,6352.54
222.22,500.2
74.62,305.04
15455.4,12585.4
778.18,11632.5
94.3,277.98
23368.4,12911.7
223.04,277.16
74.62,177.12
43239.4,36268.6
22720.6,29005.9
69.7,122.18
114.8,214.02
262143,262143
414.1,629.76
210.74,282.9
2200.06,27556.9
22.14,136.12
13.94,92.66
127.92,414.1
6810.92,4081.96
7139.74,30503.2
198736,204510
31.98,148.42
2107.4,4787.98
63.14,880.68
262143,262143
77.9,239.44
209.92,338.66
142360,148532
1102.08,10902.7
12694.4,34658.9
986.46,13294.7
190.24,569.08
132.02,217.3
36699.1,35374.8
301.76,8771.54
79.54,246.82
27474.9,25534
136.12,451.82
3682.62,27654.5
23849.7,66410.2
23.78,55.76
73.8,134.48
952.84,12215.5
390.32,1803.18
44.28,336.2
102.5,446.08
75.44,214.02
63.14,214.84
219.76,250.1
63146.6,55255.7
612.54,7447.24
20272.9,47046.7
1321.02,1582.6
4142.64,12325.4
141.86,504.3
1534.22,17660.3
13445.5,20124.4
58559.5,41906.9
174977,206095
12190.1,18943.6
1545.7,4951.98
4405.04,22407.3
469.86,3457.12
77958.2,106473
179557,242822
1121.76,1462.88
294.38,600.24
2347.66,1175.06
122.18,1175.06
77.08,193.52
257.48,1267.72
1434.18,29981.7
62048.6,61424.6
190169,163863
136.12,316.52
262143,232039
1022.54,1640
221899,244937
136.94,1075.84
144.32,2651.88
6378.78,24515.5
17945.7,58675.9
262143,262143
743.74,640.42
102468,78728.2
12830.5,14092.5
637.14,1233.28
81.18,195.16
86.1,236.98
100.04,230.42
2543.64,10622.3
135.3,397.7
1047.14,20648.4
75.44,211.56
2241.06,23801.3
15154.4,16308.2
73.8,533
259.94,4706.8
111.52,302.58
155.8,1075.84
27995.6,28103
10158.2,7688.32
750.3,9732.58
35437.1,39045.1
421.48,12751.8
36.9,164.82
127.92,268.96
2343.56,22456.5
11835.1,28190
117.26,287.82
124374,141270
6546.88,28656.5
1875.34,2079.52
117.26,280.44
879.86,2354.22
2337.82,8259.04
462.48,4709.26
16973.2,13999
54.94,116.44
86.92,138.58
182018,203658
69.7,249.28
95.94,161.54
66.42,223.86
94.3,277.16
44.28,191.88
1338.24,3387.42
2091.82,11995
118.9,386.22
292.74,7197.96
58015,85572.7
224.68,1913.88
49133.6,64300.3
77.08,116.44
27.88,123
159.08,248.46
4660.06,6562.46
182288,179170
72.98,188.6
14612.4,41686.3
12203.2,16744.4
102.5,171.38
611.72,14056.4
5960.58,6210.68
189.42,242.72
136.12,407.54
85.28,250.92
79.54,222.22
171.38,2797.02
403.44,6312.36
27224,30617.2
77.9,184.5
2055.74,3785.94
241.9,2590.38
106.6,278.8
13501.3,19078.9
51435.3,75668
72.98,201.72
171.38,351.78
150.06,391.96
154.98,285.36
116886,120806
1662.14,17773.5
64.78,192.7
62.32,195.98
30.34,175.48
148.42,318.98
57.4,230.42
108.24,237.8
175.48,8760.88
51.66,141.86
77.08,149.24
109.06,471.5
3206.2,10926.5
3248.84,5010.2
3658.84,15988.4
180148,195214
101.68,300.94
122.18,215.66
85.28,282.08
59.04,186.14
8063.88,26591
93.48,223.86
74.62,110.7
26486,18008.8
200.08,427.22
64755.4,60643.9
1790.06,4136.9
526.44,19105.2
23575,41910.2
10487,15381.6
42650.7,75560.5
1201.3,1643.28
63.14,184.5
94.3,248.46
222341,239333
108.24,272.24
32.8,246
8185.24,64133.8
288.64,9706.34
10596,5138.12
58525,72316.6
76.26,123
14844.5,19651.3
72.98,277.98
104.14,153.34
47352.5,26410.6
127.1,19165
111.52,203.36
198.44,3385.78
5495.64,7254.54
129.56,271.42
83.64,289.46
230545,225053
830.66,20285.2
322.26,439.52
1824.5,12394.3
64.78,167.28
27939,35671.6
849.52,21397.9
102.5,172.2
97284,90912.6
1205.4,15252
118.9,215.66
29033.7,49713.3
346.04,8801.06
103.32,698.64
19796.4,56922.8
12218,54744
6149.18,37474
2162.34,3863.02
18541,29045.2
46.74,222.22
169.74,313.24
6066.36,7669.46
432.14,734.72
7153.68,1890.92
172.2,250.1
58575.9,83271.8
77490,68124
12815.8,22867.3
188087,201352
189036,193579
38039,32695
1111.92,13456.2
3796.6,29299.4
65.6,160.72
46120.1,47485.4
1194.74,3277.54
345.22,5959.76
82.82,203.36
136.94,342.76
132.02,271.42
214.02,2882.3
119608,107978
67258,58327.4
195.16,303.4
71.34,259.12
20164.6,18926.4
262143,209710
40.18,193.52
45862.6,77194.8
149.24,336.2
2215.64,27194.5
84.46,184.5
2808.5,6565.74
68.88,168.92
283.72,4359.12
70549.5,96821.5
792.12,1747.42
218.94,393.6
733.08,1055.34
3002.02,3831.04
196.8,160.72
99.22,176.3
79.54,312.42
141.04,330.46
574.82,15539
128.74,218.94
6537.86,13525.1
95.94,200.9
68636.5,75915.6
164483,200787
30913.2,53062.2
17658.7,60867.8
85401.4,85382.5
91.02,277.16
31.98,195.16
13295.5,30725.4
36995.9,23928.4
7214.36,12045
18510.7,62850.5
39.36,199.26
188806,196391
4981.5,2849.5
2546.92,52509.5
126.28,232.06
72.98,178.76
14669,23079.7
63.96,119.72
109.06,309.14
2769.14,19205.2
185.32,413.28
66.42,124.64
493.64,469.04
104.96,127.92
85.28,154.98
126.28,1058.62
559.24,12764.9
262143,262143
1344.8,3589.14
233.7,11974.5
226803,194462
232.06,3100.42
120.54,215.66
7727.68,2887.22
30956.6,47838.8
20830.5,20561.5
43970,47613.3
71.34,154.16
113.16,274.7
112.34,192.7
169.74,399.34
82.82,158.26
119.72,266.5
13662,19629.2
264.04,650.26
687.16,462.48
30.34,200.08
36.08,141.86
-7.38,131.2
25864.4,38151.3
175755,196723
6077.84,40911.4
2286.16,6682.18
341.94,474.78
1906.5,27529
1384.16,6286.12
687.98,4672.36
132.84,247.64
132.84,327.18
351.78,11140.5
104.14,188.6
214.02,525.62
90.2,217.3
143500,138200
172.2,306.68
2127.08,33619.2
77.9,563.34
101.68,206.64
828.2,19773.5
125.46,443.62
1923.72,34971.4
66852.1,33550.3
5821.18,11183.2
149.24,191.06
199.26,364.9
104.96,876.58
13222.5,15568.5
91.84,182.86
6247.58,6687.1
158429,161507
15815.3,63693.5
277.16,4639.56
62.32,270.6
73.8,216.48
52.48,192.7
724.06,25871.8
69.7,136.12
223.04,2816.7
79.54,168.92
163.18,260.76
136.12,259.94
133.66,268.96
144.32,235.34
423.12,2693.7
262143,262143
88.56,189.42
217097,191641
6599.36,31640.5
100.04,339.48
9190.56,18331.9
250.1,426.4
113.98,175.48
310.78,3304.6
316.52,405.08
262143,262143
53.3,191.88
40.18,122.18
83.64,111.52
12885.5,48075.8
96.76,206.64
204640,173400
104.96,223.04
171379,160616
119980,91449.7
262143,262143
128.74,1862.22
3217.68,16591.1
8932.26,37380.5
29.52,153.34
90.2,209.1
1197.2,2850.32
252.56,14599.3
709.3,17858.8
94.3,191.88
224339,262143
93.48,181.22
2320.6,30036.6
60414.3,25435.6
262143,262143
90.2,232.06
59.86,289.46
115.62,266.5
25679.9,61217.1
19639,18878.9
262143,262143
46.74,135.3
15787.5,60539.8
59.04,154.98
137973,137054
132.84,2625.64
100.86,281.26
222.22,382.94
297.66,243.54
5397.24,15712
631.4,8129.48
262143,262143
137.76,280.44
118.9,2801.94
4788.8,25508.6
760.14,18526.3
3708.04,22573
112859,102407
72.16,179.58
140.22,227.96
138317,168945
1248.86,25822.6
46179.9,35783.2
8865.84,20577.1
84133.6,89547.3
80.36,178.76
59755,43216.5
96.76,232.88
169925,163565
24.6,1965.54
23.78,247.64
65.6,138.58
100.04,307.5
15842.4,25306
70.52,175.48
88.56,443.62
84.46,250.92
26629.5,41072.2
619.92,1879.44
428.86,1534.22
1325.12,784.74
110.7,218.12
365.72,7384.1
59916.6,60994.9
35639.7,52144.6
6824.04,7410.34
109.06,167.28
12535.3,36476.9
598.6,1517
5860.54,7832.64
58990,91563.7
1254.6,1297.24
103.32,312.42
136000,149060
1059.44,16873.1
6426.34,12384.5
104.96,162.36
122.18,145.14
72131.3,65040.8
437.06,1183.26
628.94,25607.8
87.74,217.3
29916.1,51505
540.38,16132.7
54.12,148.42
205.82,410.82
86.1,290.28
16287.7,13107.7
77.08,160.72
2200.06,28834.5
399.34,639.6
33426.5,62452
1844.18,10948.6
52890.8,60180.6
155.8,159.08
80346.1,90389.4
29060.8,44138.1
6081.94,22506.5
23.78,113.16
324.72,11232.4
1320.2,7277.5
164.82,3182.42
369,10576.4
13111,36730.3
322.26,12295.9
257144,233412
112.34,223.04
170180,170198
1399.74,24520.5
96.76,253.38
592.04,779.82
1145.54,10497.6
752.76,979.08
30429.4,31894.7
1810.56,2521.5
3914.68,4406.68
8664.94,47600.2
87.74,186.96
148.42,295.2
5538.28,4725.66
156.62,305.86
140.22,226.32
38705.6,44879.4
15561.1,25905.4
1767.1,27069.8
107.42,260.76
190.24,2706.82
3041.38,18849.3
129.56,272.24
50.02,187.78
703.56,2359.96
92.66,2508.38
593.68,2769.96
993.02,12380.4
66.42,241.08
105542,100399
937.26,1765.46
434.6,5244.72
587.12,1981.94
239.44,445.26
72.98,186.14
4361.58,30736.1
167.28,274.7
654.36,1448.12
54.94,190.24
182.86,1271
122.18,310.78
1041.4,15293.8
226.32,9502.98
43.46,193.52
161313,210253
2437.86,1138.98
15634.9,35156.7
97.58,186.96
5774.44,21192.9
50.84,166.46
59.86,70.52
86.1,176.3
54.94,209.92
197.62,2847.04
403.44,11570.2
15498,43253.4
138.58,339.48
1093.06,24275.3
127.1,306.68
46661.3,34878.7
1189,6553.44
57.4,226.32
95.12,247.64
28416.3,69648.3
262143,262143
20345.8,24584.4
65.6,262.4
41925,32800.8
834.76,27915.3
45478,53410.7
5274.24,49257.4
92.66,269.78
416.56,9674.36
113.98,234.52
58.22,195.16
97.58,221.4
94.3,252.56
2158.24,3234.08
514.96,2701.9
139.4,248.46
3257.86,6907.68
1813.02,13329.9
86.92,186.14
92.66,155.8
110712,119953
569.9,1471.9
444.44,11508.7
1064.36,8678.06
71294.9,67615.6
113.16,848.7
76.26,231.24
163.18,197.62
732.26,826.56
187.78,345.22
201837,206284
431.32,20785.4
5890.06,50555.5
154.16,247.64
20072.8,39061.5
2350.12,6232.82
106.6,264.04
119.72,349.32
86.92,315.7
169.74,328.82
471.5,2652.7
238.62,1725.28
180.4,328
2821.62,22672.2
373.92,11965.4
11027.4,16318.8
47113.9,35873.4
10158.2,23467.6
215.66,264.86
44699.8,45147.6
250.1,7457.08
1959.8,1617.04
35.26,188.6
50.02,164.82
4842.1,27409.3
27.88,100.86
86.1,146.78
168.92,373.92
80.36,221.4
103.32,177.12
185659,162515
249783,259026
114698,119391
735.54,20068.7
164.82,287.82
95.94,290.28
55.76,173.02
68.06,135.3
124.64,655.18
114.8,237.8
55467.3,44906.5
37576.5,50603.8
10642.8,20874.7
67.24,209.92
109.88,1220.98
152067,139466
589.58,6262.34
1522.74,3352.16
136987,116080
103837,103086
38620.4,47326.3
6975.74,28315.4
2294.36,4314.84
194159,225880
2114.78,7607.14
665.84,1013.52
869.2,14522.2
162.36,177.12
13002.7,23069.9
2507.56,4754.36
46479.2,62192.1
537.1,1748.24
714.22,12246.7
455.92,15764.5
43174.6,48380.8
63509.8,108671
102.5,258.3
648.62,9639.92
129.56,1028.28
138186,150112
893.8,16496.8
4833.08,3073.36
3264.42,5552.22
2230.4,5802.32
18379.5,10577.2
290.28,1958.98
151.7,2434.58
122.18,165.64
136.12,328.82
19500.4,10464.8
100.86,292.74
17643.1,27358.5
86.92,154.98
81.18,229.6
7526.78,53346.7
57185.2,58333.2
29146.9,65928.8
499.38,427.22
1555.54,22924.7
25538.1,30450.7
1120.94,9544.8
2544.46,25990.7
116463,123026
1997.52,11606.3
217.3,4305.82
1053.7,21903.8
84.46,281.26
3768.72,43228.8
176848,173279
1899.12,29877.5
14391,7619.44
87.74,191.06
439.52,5074.98
114.8,6282.84
29335.5,36834.4
162.36,364.9
2728.14,5780.18
171.38,861.82
3988.48,21147.8
81.18,172.2
151500,124065
136.12,294.38
71.34,218.12
2867.54,13691.5
42212.8,49412.4
775.72,15733.3
104.96,189.42
1890.1,4532.96
2389.48,34182.5
15223.3,27219.1
86.92,145.96
2022.94,15312.7
90.2,184.5
17002.7,34647.5
144.32,266.5
752.76,2013.1
84.46,278.8
148195,156014
116147,88453.4
259.12,6367.3
93.48,175.48
3288.2,18536.9
130.38,192.7
146632,136381
371.46,1435.82
93.48,214.84
39105,38475.2
82.82,187.78
76.26,148.42
116.44,223.86
1103.72,3076.64
28178.5,47607.6
400.98,912.66
22706.6,32798.4
22126.9,36408.8
63.14,173.02
97566.1,100983
124.64,300.12
38876.2,30201.4
1216.88,1248.04
64412.6,67701.7
2576.44,2286.16
60379.9,56074.9
115.62,378.84
373.92,528.9
1625.24,1447.3
45.92,98.4
246,2699.44
1136.52,15732.5
180495,194126
1097.16,1293.96
152.52,8309.88
48741.6,40003.7
61.5,205
22948.5,13306.1
164.82,416.56
80.36,209.92
18873.1,58904.7
139.4,248.46
5618.64,11754.7
144.32,1046.32
61135.9,57581.2
13110.2,21025.6
626.48,18313.1
1892.56,24756.6
87.74,155.8
61.5,158.26
359.98,1908.14
21696.4,43100
118.9,207.46
21617.7,10380.4
835.58,1031.56
159.9,7261.1
109.06,288.64
90.2,369
223.04,997.94
117.26,584.66
126.28,224.68
3000.38,10351.7
115.62,228.78
302.58,870.02
447.72,767.52
112.34,345.22
7295.54,32631.1
39419.9,65688.6
327.18,1507.16
122.18,353.42
568.26,23101
253.38,431.32
72.16,193.52
131530,150268
116.44,227.14
554.32,14059.7
100.04,127.92
89.38,197.62
93517.7,107965
332.92,7088.08
150.88,308.32
5990.1,24525.4
94.3,368.18
22279.4,40515.4
74.62,248.46
10735.4,19766.9
3389.88,35632.3
28.7,133.66
32262.1,39463.3
911.02,3210.3
60.68,246.82
2382.92,989.74
10140.1,4733.04
745.38,23474.1
136.12,251.74
363.26,9002.78
9376.7,11082.3
215.66,1492.4
10678,55482
79.54,2227.94
568.26,332.1
1398.1,30645
9.84,97.58
163881,124178
133.66,344.4
5227.5,39811
69.7,235.34
253.38,597.78
101.68,180.4
3568.64,5339.84
68.88,224.68
191804,246431
37267.4,41296
301.76,258.3
77839.3,72659.4
12881.4,24695.9
66014.1,77264.5
9157.76,15128.2
1391.54,18436.1
437.06,5762.96
6295.14,8353.34
120.54,1488.3
72.98,184.5
485.44,13498
49.2,195.98
709.3,2024.58
141.04,314.88
141.86,173.02
3078.28,17251.2
1783.5,18897.7
1243.12,1399.74
222.22,305.04
288.64,8648.54
54094.6,50718.6
2455.9,6077.02
149.24,266.5
111.52,193.52
157.44,370.64
715.04,7981.06
67.24,140.22
1430.9,24101.4
141426,158981
3835.96,48234.9
22.96,154.98
373.1,218.94
1147.18,6473.9
12862.5,18536.9
168.92,251.74
123,235.34
262143,262143
79.54,191.06
100.04,242.72
5378.38,2829.82
611.72,1520.28
43125.4,55980.6
797.86,1211.14
473.14,902
54.12,298.48
584.66,1371.04
14.76,159.9
73.8,178.76
63632,69182.6
652.72,5062.68
75.44,235.34
61.5,996.3
177.94,410.82
2470.66,19010.1
106.6,319.8
181022,172513
229.6,272.24
157202,153463
826.56,492.82
228851,245024
152.52,352.6
323.9,4988.06
69.7,206.64
15884.2,23909.6
14144.2,37911.9
502.66,6957.7
74.62,133.66
94.3,281.26
272.24,6133.6
222.22,316.52
733.9,2851.14
211.56,6607.56
1820.4,1996.7
45.1,192.7
193650,209299
52.48,134.48
301.76,733.9
54.12,145.96
375.56,596.14
42332.5,69749.2
166.46,347.68
32278.5,28904.2
96.76,240.26
192231,212369
94.3,216.48
168.1,308.32
52.48,151.7
1981.12,21599.6
68.06,228.78
45.1,129.56
10594.4,17461.9
89.38,195.16
136.12,667.48
166278,173029
132.02,769.98
18165.5,19283.1
5077.44,3331.66
3195.54,6499.32
9722.74,7764.58
70.52,164
4533.78,2482.14
85696.6,77730.3
225.5,387.04
95.12,149.24
535.46,10554.2
1477.64,3731.82
246,212.38
284.54,13495.6
75.44,195.98
103.32,200.08
41,202.54
22.96,709.3
414.92,7651.42
2282.06,3470.24
72.16,218.12
97.58,209.92
82.82,136.12
86.92,163.18
136.12,236.16
179.58,800.32
176.3,628.12
455.1,3939.28
102.5,220.58
48.38,176.3
8138.5,21203.6
83.64,350.96
216.48,920.86
69393.3,83094.7
141.86,1025
160.72,355.06
91.84,270.6
157.44,255.02
90.2,257.48
133.66,354.24
31301.9,55104
61.5,164.82
47.56,5054.48
16714.9,13581.7
358.34,17304.5
115.62,302.58
100338,102328
6529.66,18683.7
103.32,297.66
4227.1,22292.5
210223,196213
161401,174247
326.36,10356.6
87.74,123
202.54,408.36
140.22,250.1
-9.02,34.44
9711.26,12641.1
116.44,300.94
53291,77512.1
60.68,212.38
26969.8,48403
4050.8,2183.66
172.2,5347.22
5105.32,11086.4
134.48,231.24
195.98,1483.38
93.48,218.94
105440,101739
85.28,237.8
73.8,87.74
102.5,284.54
331.28,567.44
124.64,299.3
36.08,126.28
41.82,190.24
437.06,14616.5
1161.12,1029.1
254426,226962
4052.44,17419.3
5898.26,28819.7
77.9,229.6
23949.7,40485.9
301.76,335.38
58.22,186.96
58111.8,75713.1
95.94,125.46
40608,53485.3
169.74,288.64
21898.9,25250.3
262143,262143
122998,93185.6
99.22,235.34
53362.3,35396.9
669.12,17898.1
79.54,76.26
99.22,282.9
88.56,213.2
59914.9,75428.5
122.18,282.9
714.22,3194.72
692.08,27019
1064.36,6198.38
653.54,742.1
19088.8,10437.8
63.14,174.66
1589.16,4883.1
91105.3,117738
138.58,9863.78
241.08,232.06
118.08,216.48
170.56,321.44
86.1,226.32
2127.9,3145.52
464.94,820.82
4409.14,24571.3
282.9,5172.56
101.68,225.5
617.46,725.7
29383.1,37206.7
280.44,7261.92
455.92,3079.1
1808.1,28746.7
106344,113475
218.94,261.58
91.02,205.82
92.66,246.82
112.34,215.66
59.04,201.72
132.02,298.48
97.58,288.64
175674,196176
124.64,322.26
139.4,357.52
92.66,502.66
121.36,252.56
900.36,10013
36472.8,21322.5
135340,151652
38.54,137.76
85.28,151.7
1931.1,8588.68
109.06,357.52
815.08,14147.5
287,946.28
75803.3,68802.1
30584.4,46550.6
3844.98,4210.7
869.2,6806
23219.9,50224.2
67.24,165.64
11065.1,20517.2
63.14,143.5
763.42,1990.14
106.6,182.86
123,2057.38
22969,20284.3
502.66,6585.42
53.3,231.24
8094.22,18309
702.74,555.96
43785.5,37223.1
57.4,223.04
62.32,149.24
255.84,4063.1
223.86,7254.54
1692.48,2109.04
48.38,153.34
42.64,146.78
76.26,169.74
131.2,337.02
1278.38,710.12
246,5144.68
5121.72,3125.02
400.16,14201.6
155.8,626.48
8555.88,36672.9
85034,68329.8
755.22,16099.9
236140,204890
121164,127615
60.68,111.52
202372,219002
1423.52,14749.3
1372.68,1412.04
44.28,1066
6020.44,37297.7
9040.5,16363.9
31.98,91.84
86.1,218.12
30636.8,67568.8
1576.04,1859.76
26195.7,20578.7
116.44,255.84
81.18,190.24
109.88,348.5
170.56,381.3
1332.5,12104
1061.9,27857.9
1802.36,5860.54
53771.5,56572.6
97899,75878.7
18.86,162.36
404.26,13236.4
26135.9,25993.2
58505.4,58621.8
894.62,19709.5
83.64,274.7
23585.7,33713.5
938.9,1182.44
129.56,347.68
124.64,242.72
541.2,23110.1
926.6,2287.8
244.36,264.04
9615.32,28340.8
985.64,26222.8
23984.2,18835.4
62958,50522.7
109.88,815.08
1416.96,33657.7
37.72,174.66
1365.3,2737.98
569.9,687.16
139.4,217.3
164.82,535.46
111557,72560.2
264.04,462.48
86.1,182.04
93163.5,84730.6
131.2,617.46
152.52,3185.7
552.68,7571.06
120868,95890
2862.62,19461.9
5410.36,49362.4
2408.34,5641.6
85.28,196.8
2108.22,923.32
136.94,338.66
1212.78,20839.5
99.22,232.06
2565.78,1630.98
111.52,188.6
55.76,209.1
102.5,206.64
409.18,2368.16
83401.4,58906.3
297.66,297.66
155.8,178.76
638.78,14687
114.8,295.2
4230.38,24532.8
7555.48,5625.2
35158.3,54452.1
70.52,132.84
269.78,7595.66
9589.9,7006.08
262143,262143
259.94,1407.94
37597,44785.9
262143,262143
1041.4,4059.82
73475.3,64934.2
105.78,1382.52
384.58,15648.9
85.28,231.24
102.5,279.62
18036.7,13855.5
15351.2,59688.6
63.14,269.78
487.08,5817.9
793.76,4815.86
130.38,368.18
9111.84,12983.9
176522,148026
115611,87720.3
1168.5,1359.56
89.38,196.8
142693,143491
8359.9,19712.8
101.68,299.3
587.12,11334.9
114.8,179.58
145.14,360.8
160244,142236
5670.3,55605
829.84,1148.82
10166.4,8682.16
95.94,240.26
6550.16,20933
169009,163613
62.32,225.5
53477.9,49569
68.88,163.18
68261.7,53221.3
161.54,339.48
104.14,186.14
106350,109674
187795,173504
226463,233434
240199,237771
95.12,420.66
76.26,318.16
104.96,341.94
28512.2,52574.3
67.24,234.52
34936.9,62029.7
17125.7,26354.8
19261,49707.6
73243.2,80220.6
6922.44,43268.9
7152.04,25991.5
1034.02,15628.4
169.74,214.84
226642,225236
117.26,213.2
32.8,148.42
15657.1,13471
40.18,122.18
30165.3,34670.4
91.02,164.82
35798.7,50471.8
123,245.18
179252,202990
205,7829.36
267.32,5863
108521,104333
298.48,246.82
173.84,291.92
127.1,289.46
490.36,16126.1
41331.3,18282.7
35.26,83.64
644.52,14736.2
109.06,173.02
189939,161647
70.52,173.02
113.98,352.6
72.98,141.04
518.24,566.62
33046.8,33986.5
106.6,257.48
72.98,246.82
82.82,239.44
2257.46,2268.12
5069.24,31943.1
145.96,11840.8
97.58,302.58
224180,220980
36.9,122.18
598.6,11566.9
23930.1,52305.3
13546.4,31405.2
783.1,2624.82
150.88,301.76
26994.4,56763.7
7595.66,39214
1746.6,1444.84
262143,262143
92.66,408.36
1416.96,861
2030.32,1054.52
94.3,300.12
109.88,242.72
289.46,335.38
31608.5,51791.2
98.4,392.78
144.32,3559.62
262143,262143
104.96,211.56
114.8,380.48
187.78,1881.08
369.82,15727.6
66746.4,77766.3
105.78,198.44
31319.1,29473.3
84.46,245.18
48749.8,38281.7
279.62,513.32
2440.32,2465.74
155.8,609.26
2456.72,6909.32
39389.5,23592.2
21035.5,18352.4
58297.1,47641.2
20959.2,34294.9
95.94,196.8
55427.9,62958.8
1457.96,7693.24
118.9,338.66
88088.5,73936.9
82.82,147.6
317.34,702.74
45171.3,67304.8
101247,89506.3
496.1,15507
567.44,11578.4
9309.46,22244.1
128.74,253.38
16150.7,64171.6
91.84,170.56
81.18,233.7
61.5,108.24
251.74,173.84
247639,258284
113.98,273.88
15549.7,29731.6
86.92,181.22
106.6,248.46
518.24,12003.2
20274.5,56458.6
99.22,157.44
103.32,151.7
9442.3,32557.3
198.44,1676.9
474.78,401.8
95.94,227.14
492,1241.48
67.24,200.9
335.38,8885.52
87.74,192.7
66.42,219.76
48574.3,53404.1
77552.3,79178.4
1423.52,5872.84
42.64,881.5
259.12,343.58
59.04,206.64
73.8,196.8
77.08,189.42
16876.4,23093.7
135.3,300.94
64743.1,53815
55063,68846.4
3551.42,32640.1
586.3,8282
40.18,185.32
214.84,13612.8
34353.1,52819.5
133.66,301.76
58568.5,66174
232.06,1013.52
125.46,892.16
1544.06,17397.1
117.26,536.28
298.48,5545.66
4330.42,6929
2614.16,19910.4
104.96,1589.98
26475.3,52963.8
180.4,562.52
118.9,258.3
150296,146163
129617,135041
187694,185093
2242.7,1448.12
87.74,221.4
99.22,223.04
109.88,185.32
131.2,196.8
113.98,241.08
227.96,361.62
114.8,154.98
103.32,206.64
106.6,219.76
434.6,6830.6
93.48,189.42
123.82,1916.34
140538,141813
2483.78,4260.72
93.48,228.78
73.8,278.8
22560.7,48628.5
7997.46,30739.3
70.52,293.56
3075,13523.4
183959,133091
153.34,263.22
228.78,556.78
206.64,283.72
77.9,996.3
31431.4,34093.1
461.66,239.44
542.02,11388.2
117183,137598
262143,262143
856.9,1352.18
7799.02,59014.6
146.78,687.16
126.28,241.08
226.32,5027.42
203124,173799
109941,95089.7
99.22,260.76
724.06,3553.06
52.48,424.76
305.04,5860.54
2061.48,6306.62
-0.82,858.54
963.5,974.16
13306.1,8798.6
133183,109895
7425.1,19878.4
68.06,157.44
605.16,17575.9
161.54,2499.36
149.24,227.96
59.04,178.76
84.46,209.1
113.16,196.8
216752,170788
84.46,207.46
65.6,109.06
1140.62,29213.3
145.96,756.04
205.82,4320.58
650.26,977.44
132.02,259.12
177.94,399.34
138.58,320.62
3040.56,25822.6
202.54,455.1
229.6,6613.3
105740,96642.7
130.38,295.2
34.44,175.48
95.12,278.8
1942.58,1374.32
80.36,282.08
77.08,238.62
11848.2,17287.2
67130.9,65665.6
92.66,210.74
23566.8,53099.9
45.92,134.48
559.24,13762.9
58.22,234.52
817.54,28882.9
47681.4,38382.6
86.92,193.52
676.5,21228.2
1005.32,596.14
213.2,529.72
487.08,15407.8
44111.1,51583.7
235.34,345.22
458.38,2888.04
106.6,201.72
50.02,188.6
149.24,5416.1
287,2089.36
228651,262143
85589.1,117603
147236,145648
632.22,5685.06
22116.2,40906.5
15.58,142.68
59.04,148.42
3384.96,7885.94
435.42,11970.4
262143,262143
