"GFP-A","Nile Red-A"
194.35,575.9
54.6,83.85
2637.7,3177.85
13217.1,8474.05
3245.45,17836.6
499.2,11846.9
23962.9,23262.2
975.65,15146.9
52.65,68.9
17350.4,14242.8
27.3,89.7
9633,13720.2
66.3,101.4
108.55,401.05
115.7,98.8
37.7,86.45
92.95,94.25
59.8,56.55
46.8,159.25
46.15,1000.35
843.05,6706.05
23607.3,34077.5
353.6,4674.15
679.9,7307.3
45.5,91.65
20.8,57.2
101.4,856.05
64803.7,54685.1
62.4,79.3
34.45,42.9
19.5,65.65
169.65,925.6
180759,133772
9993.1,7200.05
46486,35833.8
8743.15,32084
37.05,57.85
70.2,74.1
48.1,40.3
50.7,114.4
163.8,4067.05
52,91
35.75,146.25
55.9,44.2
42.9,68.9
117,209.95
460.2,11070.1
238.55,5859.75
14114.1,17267.9
46.15,74.75
17720.3,23128.9
2787.85,1256.45
118.3,453.7
68.9,129.35
175.5,4348.5
23.4,96.85
89.05,125.45
198.25,6427.85
18.2,40.3
144.95,2739.1
1281.15,4875.65
118.95,5317.65
24.7,38.35
84.5,86.45
585.65,7111
103483,75908.3
35.75,139.1
48.1,70.85
44.2,57.85
40.95,87.75
66.95,31.2
28124.8,17423.3
454.35,8675.55
1210.95,6404.45
102374,81719.3
46.8,44.2
40.3,81.9
33.15,63.05
33.15,850.2
50.05,68.25
404.3,7859.15
266.5,145.6
19744.4,15717.6
167.7,4330.95
26.65,65
19515.6,19591.6
2157.35,14361.1
26843.7,20648.5
189.15,2634.45
23809.5,10338.3
16715.4,5546.45
24.7,62.4
39293.1,40029.6
206.7,3215.55
222.3,940.55
6227,6577.35
300.3,1816.75
4518.8,8251.1
69.55,92.3
94.9,3050.45
141931,97976.4
82.55,83.85
20.8,52.65
43.55,85.15
55.25,81.25
42.9,78
299,7953.4
45676.8,39615.5
37021.4,35128.6
63.7,5216.9
55.9,102.7
117242,91056.5
45221.8,38121.8
423.15,3946.8
50.7,98.8
85.15,110.5
54.6,77.35
44.2,35.1
5570.5,18421.6
93.6,77.35
107.25,179.4
33.15,65
4412.85,8529.95
66.3,118.95
59.15,154.7
183.95,5090.15
21.45,66.95
10754.3,23132.2
315.9,2213.9
46.8,94.25
371.15,3187.6
67.6,102.7
499.85,7417.15
113.1,3898.05
328.25,6924.45
42.25,48.75
46.8,82.55
170.3,4578.6
151.45,4431.7
958.1,2219.75
77.35,2846.35
54.6,72.8
41.6,60.45
40.3,74.75
36.4,37.05
1327.3,28107.9
40.3,47.45
1140.1,10105.5
55.9,100.75
138.45,667.55
34.45,42.25
69.55,83.85
27.95,69.55
421.85,13731.2
161.2,5861.05
377,8805.55
44.2,72.8
174.85,3556.8
5843.5,18732.3
70.2,55.9
134.55,3526.9
42.25,34.45
81.25,126.1
57.85,70.85
161.2,2050.1
59.8,166.4
1067.95,13007.8
235.95,5313.75
87.1,246.35
110.5,122.85
50.7,78
58.5,71.5
60.45,100.75
1642.55,1008.15
70304.6,54604.5
3852.55,3069.95
143.65,1965.6
828.75,4429.75
2396.55,9958
22.75,68.9
2884.05,3762.85
33.8,32.5
4322.5,6622.85
110.5,2761.2
82.55,100.1
14.95,24.7
154.7,1758.25
9564.1,9353.5
28269.1,29589.3
170.95,456.95
766.35,2561.65
64.35,150.15
46.15,139.75
37.05,79.95
89210.5,61159.1
66.3,805.35
72.8,138.45
81.9,164.45
355.55,14701
932.1,2680.6
350.35,10571.6
46.8,70.2
529.75,8743.15
918.45,10390.9
339.3,13991.2
250.9,2839.85
35.1,33.15
52.65,62.4
53.95,65
34.45,40.3
1078.35,4667.65
160.55,108.55
51.35,107.9
56.55,3562.65
37.05,64.35
31.85,87.1
967.2,19903
42.9,63.7
41109.9,24206
33.8,76.05
92.95,146.25
13,40.3
43.55,75.4
79.3,54.6
5621.2,11516
34856.9,28862.6
543.4,325
2162.55,602.55
86.45,102.7
8465.6,17855.5
598.65,3771.95
748.8,14189.5
7497.75,6760.65
91.65,135.85
3154.45,22313.8
30189.9,34528.6
53.95,53.3
2266.55,15196.3
73.45,605.8
53.3,71.5
97.5,2524.6
50.05,88.4
26,125.45
63.05,99.45
24891.8,35732.4
174.2,4469.4
2208.7,29440.4
1318.85,4563
30841.8,25558
75.4,96.2
66.3,107.25
46.8,109.85
107.25,156.65
43098.9,25179
29.9,60.45
22414.6,24982.1
211.25,204.75
118.95,225.55
59.8,76.7
