Comp-FITC-A,Comp-Texas Red-A,
268,257,1.042801556
530,602,0.880398671
256,239,1.071129707
944,771,1.224383917
247,242,1.020661157
306,440,0.695454545
283,488,0.579918033
267,246,1.085365854
781,722,1.081717452
988,801,1.233458177
491,265,1.852830189
282,258,1.093023256
249,236,1.055084746
246,238,1.033613445
379,519,0.730250482
254,244,1.040983607
274,253,1.083003953
1023,735,1.391836735
967,791,1.222503161
863,716,1.205307263
238,237,1.004219409
724,711,1.018284107
854,719,1.187760779
973,807,1.205700124
646,621,1.040257649
262,265,0.988679245
559,715,0.781818182
260,251,1.035856574
415,278,1.492805755
274,256,1.0703125
320,331,0.966767372
340,614,0.553745928
248,240,1.033333333
1022,1003,1.01894317
241,236,1.021186441
276,259,1.065637066
254,244,1.040983607
895,719,1.244784423
427,644,0.663043478
308,256,1.203125
390,662,0.589123867
383,511,0.749510763
257,240,1.070833333
312,263,1.186311787
314,345,0.910144928
264,255,1.035294118
250,238,1.050420168
249,237,1.050632911
929,764,1.215968586
259,293,0.883959044
343,377,0.909814324
422,699,0.603719599
248,237,1.046413502
259,257,1.007782101
919,752,1.222074468
871,722,1.206371191
390,399,0.977443609
379,659,0.575113809
261,254,1.027559055
315,581,0.542168675
278,259,1.073359073
813,727,1.11829436
484,685,0.706569343
311,292,1.065068493
855,663,1.28959276
852,560,1.521428571
650,344,1.889534884
922,776,1.18814433
346,596,0.580536913
249,239,1.041841004
346,587,0.589437819
295,572,0.515734266
248,239,1.037656904
662,537,1.232774674
346,495,0.698989899
354,439,0.806378132
271,258,1.050387597
900,743,1.211305518
460,487,0.944558522
339,544,0.623161765
616,728,0.846153846
1023,952,1.074579832
845,717,1.178521618
291,258,1.127906977
693,437,1.585812357
981,815,1.203680982
247,253,0.976284585
257,250,1.028
320,265,1.20754717
766,676,1.133136095
297,278,1.068345324
378,650,0.581538462
396,391,1.012787724
258,249,1.036144578
365,261,1.398467433
289,257,1.124513619
338,579,0.583765112
252,245,1.028571429
286,531,0.538606403
762,676,1.127218935
265,249,1.064257028
304,274,1.109489051
275,368,0.747282609
824,696,1.183908046
288,256,1.125
373,400,0.9325
377,659,0.572078907
787,671,1.172876304
628,445,1.411235955
275,263,1.045627376
379,586,0.646757679
361,298,1.211409396
248,241,1.029045643
513,603,0.850746269
369,491,0.751527495
250,241,1.037344398
389,332,1.171686747
246,242,1.016528926
259,240,1.079166667
317,326,0.972392638
259,243,1.065843621
252,242,1.041322314
392,439,0.892938497
1022,957,1.067920585
276,257,1.073929961
260,246,1.056910569
276,256,1.078125
999,866,1.153579677
279,262,1.064885496
666,611,1.090016367
296,310,0.95483871
1023,929,1.101184069
1023,904,1.131637168
250,238,1.050420168
280,267,1.048689139
269,415,0.648192771
252,243,1.037037037
251,246,1.020325203
392,589,0.665534805
256,254,1.007874016
1022,961,1.063475546
715,575,1.243478261
255,283,0.901060071
248,244,1.016393443
343,629,0.545310016
261,249,1.048192771
258,243,1.061728395
292,460,0.634782609
262,245,1.069387755
263,246,1.069105691
424,657,0.645357686
250,407,0.614250614
270,252,1.071428571
625,490,1.275510204
246,240,1.025
276,252,1.095238095
253,250,1.012
424,466,0.909871245
253,247,1.024291498
291,298,0.976510067
325,275,1.181818182
252,240,1.05
648,381,1.700787402
266,253,1.051383399
260,245,1.06122449
274,264,1.037878788
907,802,1.130922693
632,552,1.144927536
279,335,0.832835821
261,250,1.044
353,441,0.800453515
262,242,1.082644628
304,479,0.634655532
249,240,1.0375
260,249,1.044176707
437,440,0.993181818
815,634,1.285488959
247,240,1.029166667
388,301,1.289036545
262,255,1.02745098
311,297,1.047138047
637,590,1.079661017
411,548,0.75
466,656,0.710365854
1023,914,1.119256018
1006,860,1.169767442
260,240,1.083333333
395,568,0.695422535
346,589,0.587436333
272,265,1.026415094
261,254,1.027559055
249,237,1.050632911
383,636,0.602201258
325,261,1.245210728
304,269,1.130111524
752,507,1.483234714
244,237,1.029535865
932,750,1.242666667
284,272,1.044117647
242,238,1.016806723
741,558,1.327956989
450,310,1.451612903
1016,859,1.182770664
256,237,1.080168776
250,460,0.543478261
303,634,0.477917981
256,246,1.040650407
251,244,1.028688525
285,262,1.08778626
274,252,1.087301587
283,331,0.854984894
962,791,1.216182048
998,810,1.232098765
1010,840,1.202380952
250,244,1.024590164
761,705,1.079432624
864,622,1.389067524
310,297,1.043771044
402,664,0.605421687
723,651,1.110599078
258,243,1.061728395
248,247,1.004048583
271,254,1.066929134
260,247,1.052631579
292,280,1.042857143
254,300,0.846666667
259,286,0.905594406
292,534,0.546816479
276,266,1.037593985
257,244,1.053278689
831,591,1.406091371
267,252,1.05952381
877,826,1.061743341
259,255,1.015686275
258,249,1.036144578
248,324,0.765432099
246,242,1.016528926
355,686,0.517492711
253,409,0.618581907
257,288,0.892361111
977,830,1.177108434
318,632,0.503164557
314,286,1.097902098
284,255,1.11372549
1022,975,1.048205128
272,243,1.119341564
265,245,1.081632653
264,268,0.985074627
583,448,1.301339286
713,480,1.485416667
304,330,0.921212121
280,257,1.089494163
261,247,1.056680162
289,262,1.103053435
961,716,1.342178771
266,265,1.003773585
241,237,1.016877637
281,269,1.044609665
563,545,1.033027523
246,236,1.042372881
268,362,0.740331492
268,252,1.063492063
465,290,1.603448276
697,675,1.032592593
294,263,1.117870722
692,643,1.076205288
247,241,1.024896266
256,244,1.049180328
282,261,1.08045977
270,242,1.115702479
332,257,1.291828794
314,269,1.167286245
452,714,0.633053221
283,248,1.141129032
269,248,1.084677419
601,708,0.848870056
598,766,0.780678851
996,829,1.201447527
276,242,1.140495868
354,247,1.433198381
248,238,1.042016807
247,243,1.016460905
549,742,0.739892183
461,501,0.920159681
386,629,0.613672496
278,252,1.103174603
296,262,1.129770992
260,239,1.087866109
565,717,0.788005579
404,277,1.458483755
559,600,0.931666667
295,256,1.15234375
1023,873,1.171821306
913,389,2.347043702
293,261,1.122605364
479,507,0.944773176
359,617,0.58184765
413,560,0.7375
273,258,1.058139535
262,251,1.043824701
266,247,1.076923077
385,433,0.889145497
366,596,0.61409396
280,261,1.072796935
865,657,1.316590563
517,736,0.702445652
275,257,1.070038911
283,254,1.114173228
290,265,1.094339623
261,255,1.023529412
293,266,1.101503759
303,250,1.212
279,251,1.111553785
252,245,1.028571429
262,245,1.069387755
272,250,1.088
276,248,1.112903226
265,252,1.051587302
257,248,1.036290323
280,255,1.098039216
252,243,1.037037037
784,512,1.53125
345,278,1.241007194
281,256,1.09765625
253,249,1.016064257
1023,863,1.185399768
1022,954,1.071278826
251,249,1.008032129
264,422,0.625592417
286,264,1.083333333
773,643,1.202177294
274,252,1.087301587
362,292,1.239726027
883,665,1.327819549
244,242,1.008264463
237,238,0.995798319
263,248,1.060483871
278,255,1.090196078
263,249,1.0562249
648,416,1.557692308
929,770,1.206493506
628,679,0.924889543
278,260,1.069230769
267,246,1.085365854
987,832,1.186298077
852,712,1.196629213
742,632,1.174050633
382,334,1.143712575
301,266,1.131578947
952,757,1.257595773
364,456,0.798245614
288,514,0.560311284
276,298,0.926174497
341,328,1.039634146
517,339,1.525073746
505,709,0.712270804
637,616,1.034090909
272,250,1.088
250,238,1.050420168
246,238,1.033613445
260,251,1.035856574
571,704,0.811079545
250,240,1.041666667
330,534,0.617977528
896,643,1.393468118
262,317,0.826498423
378,619,0.610662359
323,277,1.166064982
286,259,1.104247104
275,262,1.049618321
249,241,1.033195021
262,246,1.06504065
788,601,1.311148087
885,756,1.170634921
492,517,0.951644101
272,250,1.088
309,417,0.741007194
837,735,1.13877551
356,557,0.639138241
243,242,1.004132231
373,573,0.65095986
251,243,1.032921811
297,525,0.565714286
863,814,1.06019656
425,433,0.981524249
306,344,0.889534884
793,735,1.078911565
398,615,0.647154472
263,256,1.02734375
777,787,0.98729352
310,248,1.25
244,242,1.008264463
337,254,1.326771654
264,248,1.064516129
1022,985,1.037563452
252,237,1.063291139
945,738,1.280487805
1023,919,1.113166485
829,586,1.414675768
310,284,1.091549296
1023,914,1.119256018
372,613,0.60685155
253,246,1.028455285
271,424,0.639150943
780,687,1.135371179
643,699,0.919885551
293,275,1.065454545
254,247,1.028340081
282,257,1.097276265
1023,854,1.197892272
825,705,1.170212766
258,241,1.070539419
324,265,1.222641509
983,819,1.2002442
269,249,1.080321285
1023,903,1.132890365
285,494,0.576923077
618,446,1.385650224
516,330,1.563636364
270,255,1.058823529
270,247,1.093117409
762,737,1.033921303
260,288,0.902777778
249,242,1.02892562
325,255,1.274509804
266,409,0.650366748
507,554,0.915162455
246,234,1.051282051
255,369,0.691056911
276,265,1.041509434
259,248,1.044354839
304,282,1.078014184
269,258,1.042635659
291,259,1.123552124
246,462,0.532467532
643,746,0.861930295
288,505,0.57029703
761,635,1.198425197
309,335,0.92238806
265,248,1.068548387
246,238,1.033613445
1023,908,1.126651982
280,239,1.171548117
290,259,1.11969112
252,258,0.976744186
332,254,1.307086614
253,246,1.028455285
289,249,1.16064257
853,644,1.324534161
794,725,1.095172414
1023,936,1.092948718
247,245,1.008163265
779,726,1.073002755
280,259,1.081081081
942,770,1.223376623
875,757,1.155878468
271,260,1.042307692
994,759,1.309617918
1015,839,1.20977354
415,594,0.698653199
276,439,0.628701595
244,253,0.964426877
246,234,1.051282051
242,236,1.025423729
266,252,1.055555556
240,232,1.034482759
253,245,1.032653061
248,237,1.046413502
283,266,1.063909774
259,250,1.036
243,239,1.016736402
411,471,0.872611465
261,252,1.035714286
281,248,1.133064516
261,257,1.015564202
279,254,1.098425197
1022,955,1.070157068
276,260,1.061538462
263,696,0.377873563
259,252,1.027777778
350,261,1.340996169
810,660,1.227272727
253,239,1.058577406
274,259,1.057915058
889,734,1.211171662
265,257,1.031128405
293,323,0.907120743
252,252,1
812,735,1.104761905
261,297,0.878787879
367,650,0.564615385
519,404,1.284653465
265,242,1.095041322
334,285,1.171929825
271,255,1.062745098
910,729,1.248285322
362,485,0.746391753
268,259,1.034749035
400,612,0.653594771
1023,899,1.137931034
927,745,1.244295302
276,274,1.00729927
259,241,1.074688797
775,533,1.454033771
376,347,1.083573487
253,247,1.024291498
272,250,1.088
516,647,0.797527048
259,238,1.088235294
275,291,0.945017182
536,543,0.987108656
321,575,0.55826087
272,339,0.802359882
1022,965,1.059067358
626,633,0.988941548
273,360,0.758333333
812,756,1.074074074
461,343,1.344023324
270,409,0.660146699
506,438,1.155251142
251,246,1.020325203
304,265,1.147169811
256,242,1.05785124
837,584,1.433219178
828,616,1.344155844
261,251,1.039840637
1023,869,1.17721519
266,249,1.068273092
252,242,1.041322314
386,360,1.072222222
242,235,1.029787234
325,294,1.105442177
275,259,1.061776062
657,553,1.188065099
551,382,1.442408377
807,594,1.358585859
244,238,1.025210084
976,812,1.201970443
1023,893,1.145576708
239,237,1.008438819
992,821,1.208282582
278,254,1.094488189
266,251,1.059760956
394,434,0.907834101
306,266,1.15037594
253,240,1.054166667
1022,970,1.053608247
309,300,1.03
244,235,1.038297872
242,242,1
385,618,0.622977346
260,244,1.06557377
542,690,0.785507246
249,243,1.024691358
254,243,1.04526749
253,242,1.045454545
257,245,1.048979592
308,593,0.519392917
268,250,1.072
267,255,1.047058824
260,258,1.007751938
1023,795,1.286792453
378,568,0.665492958
247,236,1.046610169
538,686,0.78425656
263,264,0.996212121
338,522,0.647509579
624,726,0.859504132
772,681,1.133627019
269,252,1.067460317
649,610,1.063934426
258,250,1.032
292,267,1.093632959
253,246,1.028455285
290,267,1.086142322
416,307,1.35504886
856,734,1.166212534
879,669,1.313901345
290,286,1.013986014
261,243,1.074074074
922,734,1.25613079
954,804,1.186567164
278,257,1.081712062
251,242,1.037190083
258,253,1.019762846
270,250,1.08
578,622,0.92926045
810,723,1.12033195
743,659,1.127465857
244,244,1
863,663,1.301659125
993,788,1.260152284
968,792,1.222222222
314,268,1.171641791
515,743,0.693135935
290,261,1.111111111
283,257,1.101167315
252,248,1.016129032
419,456,0.918859649
263,255,1.031372549
244,241,1.012448133
908,809,1.1223733
786,631,1.245641838
299,269,1.111524164
988,807,1.224287485
288,255,1.129411765
260,453,0.573951435
816,668,1.221556886
655,595,1.100840336
266,251,1.059760956
250,240,1.041666667
333,286,1.164335664
941,747,1.259705489
850,620,1.370967742
272,259,1.05019305
963,802,1.20074813
236,234,1.008547009
900,716,1.25698324
1022,984,1.038617886
944,783,1.205619413
978,810,1.207407407
283,274,1.032846715
1023,922,1.109544469
261,252,1.035714286
288,542,0.531365314
253,245,1.032653061
259,253,1.023715415
451,626,0.720447284
260,249,1.044176707
247,237,1.042194093
282,487,0.579055441
266,242,1.099173554
279,250,1.116
851,744,1.143817204
271,247,1.097165992
835,657,1.270928463
258,246,1.048780488
256,245,1.044897959
252,246,1.024390244
1023,889,1.150731159
262,248,1.056451613
429,333,1.288288288
948,783,1.210727969
640,628,1.01910828
273,250,1.092
254,239,1.062761506
964,816,1.181372549
248,240,1.033333333
561,380,1.476315789
248,249,0.995983936
1012,873,1.159221077
264,248,1.064516129
288,248,1.161290323
563,505,1.114851485
258,249,1.036144578
1023,848,1.206367925
310,573,0.541012216
351,611,0.574468085
259,303,0.854785479
424,666,0.636636637
842,792,1.063131313
742,654,1.134556575
599,573,1.045375218
293,478,0.612970711
365,613,0.5954323
706,317,2.227129338
275,248,1.108870968
876,809,1.082818294
564,624,0.903846154
358,303,1.181518152
259,245,1.057142857
769,604,1.273178808
252,238,1.058823529
250,248,1.008064516
245,241,1.01659751
290,256,1.1328125
301,247,1.218623482
262,248,1.056451613
270,258,1.046511628
721,582,1.238831615
775,630,1.23015873
274,245,1.118367347
961,766,1.254569191
246,246,1
419,304,1.378289474
553,690,0.801449275
253,248,1.02016129
410,255,1.607843137
612,541,1.131238447
273,256,1.06640625
308,454,0.678414097
941,682,1.379765396
1016,881,1.15323496
274,433,0.632794457
346,500,0.692
263,246,1.069105691
797,572,1.393356643
258,264,0.977272727
605,568,1.065140845
305,329,0.927051672
501,510,0.982352941
294,688,0.427325581
299,260,1.15
598,659,0.907435508
265,244,1.086065574
966,807,1.197026022
358,319,1.122257053
267,264,1.011363636
957,468,2.044871795
307,380,0.807894737
286,466,0.613733906
557,656,0.849085366
245,238,1.029411765
257,253,1.015810277
1023,936,1.092948718
265,245,1.081632653
600,311,1.92926045
249,242,1.02892562
330,476,0.693277311
255,245,1.040816327
932,736,1.266304348
1023,941,1.087141339
324,564,0.574468085
243,248,0.97983871
264,250,1.056
257,245,1.048979592
315,480,0.65625
1023,928,1.10237069
898,692,1.297687861
259,253,1.023715415
281,288,0.975694444
310,262,1.183206107
265,249,1.064257028
255,243,1.049382716
517,644,0.802795031
268,260,1.030769231
253,240,1.054166667
596,273,2.183150183
853,753,1.132802125
310,269,1.152416357
780,480,1.625
252,241,1.045643154
900,665,1.353383459
313,279,1.121863799
260,244,1.06557377
913,755,1.209271523
428,296,1.445945946
349,624,0.559294872
279,289,0.965397924
275,251,1.09561753
657,756,0.869047619
908,717,1.266387727
468,309,1.514563107
267,246,1.085365854
266,243,1.094650206
285,265,1.075471698
520,333,1.561561562
264,251,1.051792829
420,575,0.730434783
278,324,0.858024691
409,680,0.601470588
834,667,1.250374813
800,708,1.129943503
265,283,0.93639576
244,234,1.042735043
960,804,1.194029851
258,242,1.066115702
340,251,1.354581673
250,306,0.816993464
241,240,1.004166667
1023,848,1.206367925
250,246,1.016260163
256,259,0.988416988
266,524,0.507633588
666,360,1.85
292,554,0.527075812
326,571,0.570928196
342,599,0.570951586
263,241,1.091286307
994,780,1.274358974
716,479,1.494780793
385,647,0.595054096
1022,962,1.062370062
375,627,0.598086124
363,346,1.049132948
1023,928,1.10237069
342,356,0.960674157
244,240,1.016666667
274,258,1.062015504
269,253,1.063241107
255,244,1.045081967
293,267,1.097378277
274,256,1.0703125
304,304,1
247,243,1.016460905
287,285,1.007017544
396,597,0.663316583
382,572,0.667832168
492,667,0.737631184
292,262,1.114503817
279,426,0.654929577
907,741,1.224021592
268,402,0.666666667
258,247,1.044534413
491,425,1.155294118
347,298,1.16442953
1020,866,1.177829099
253,243,1.041152263
259,246,1.052845528
505,610,0.827868852
439,407,1.078624079
977,804,1.215174129
297,272,1.091911765
366,653,0.560490046
618,505,1.223762376
316,269,1.17472119
309,587,0.526405451
266,504,0.527777778
454,443,1.0248307
334,679,0.491899853
1023,930,1.1
251,244,1.028688525
1014,853,1.188745604
258,253,1.019762846
835,732,1.140710383
246,242,1.016528926
381,382,0.997382199
390,657,0.593607306
837,775,1.08
252,247,1.020242915
481,593,0.811129848
940,826,1.138014528
248,295,0.840677966
262,253,1.035573123
305,276,1.105072464
249,243,1.024691358
718,742,0.967654987
242,233,1.038626609
284,250,1.136
655,554,1.182310469
261,258,1.011627907
245,245,1
315,634,0.496845426
380,390,0.974358974
260,304,0.855263158
1023,935,1.094117647
243,236,1.029661017
252,278,0.90647482
268,254,1.05511811
249,237,1.050632911
1023,930,1.1
254,245,1.036734694
344,611,0.563011457
803,670,1.198507463
560,695,0.805755396
261,354,0.737288136
279,255,1.094117647
323,282,1.145390071
944,753,1.253652058
250,250,1
669,677,0.988183161
254,245,1.036734694
262,251,1.043824701
243,233,1.042918455
266,249,1.068273092
263,250,1.052
1011,872,1.15940367
253,241,1.049792531
324,610,0.531147541
246,236,1.042372881
1023,929,1.101184069
505,298,1.694630872
960,814,1.179361179
277,477,0.580712788
392,274,1.430656934
285,257,1.108949416
260,248,1.048387097
281,256,1.09765625
270,250,1.08
417,630,0.661904762
333,266,1.251879699
281,288,0.975694444
1023,898,1.139198218
751,692,1.085260116
257,244,1.053278689
688,715,0.962237762
297,562,0.528469751
786,685,1.147445255
538,631,0.852614897
862,695,1.24028777
260,243,1.069958848
248,241,1.029045643
250,243,1.028806584
254,641,0.39625585
263,253,1.039525692
254,256,0.9921875
1022,996,1.026104418
246,235,1.046808511
250,239,1.046025105
275,253,1.086956522
340,422,0.805687204
1022,954,1.071278826
960,758,1.266490765
333,604,0.551324503
257,246,1.044715447
313,507,0.617357002
267,258,1.034883721
1022,1003,1.01894317
294,551,0.533575318
259,252,1.027777778
268,256,1.046875
279,248,1.125
586,275,2.130909091
895,625,1.432
281,354,0.793785311
258,332,0.777108434
336,320,1.05
254,241,1.053941909
272,261,1.042145594
287,258,1.112403101
281,460,0.610869565
505,675,0.748148148
245,241,1.01659751
748,622,1.202572347
247,242,1.020661157
786,669,1.174887892
393,569,0.690685413
764,657,1.162861492
419,692,0.605491329
258,249,1.036144578
247,240,1.029166667
245,242,1.012396694
274,478,0.573221757
246,236,1.042372881
293,572,0.512237762
1023,891,1.148148148
419,298,1.406040268
261,249,1.048192771
255,244,1.045081967
282,258,1.093023256
266,244,1.090163934
715,618,1.156957929
250,248,1.008064516
444,267,1.662921348
283,263,1.076045627
272,276,0.985507246
993,829,1.197828709
806,637,1.265306122
250,240,1.041666667
978,784,1.24744898
830,834,0.995203837
255,241,1.058091286
263,244,1.077868852
277,261,1.061302682
260,251,1.035856574
852,744,1.14516129
274,260,1.053846154
268,250,1.072
980,831,1.179302046
236,233,1.012875536
244,273,0.893772894
271,249,1.088353414
292,260,1.123076923
230,233,0.987124464
255,247,1.032388664
249,243,1.024691358
310,260,1.192307692
269,247,1.089068826
412,338,1.218934911
373,258,1.445736434
332,611,0.543371522
755,453,1.666666667
389,401,0.970074813
735,699,1.051502146
314,263,1.19391635
257,244,1.053278689
271,255,1.062745098
809,600,1.348333333
614,615,0.998373984
272,252,1.079365079
814,633,1.285939968
388,268,1.447761194
331,287,1.153310105
250,243,1.028806584
1022,958,1.066805846
660,388,1.701030928
274,282,0.971631206
850,700,1.214285714
297,505,0.588118812
559,401,1.394014963
274,257,1.06614786
275,349,0.787965616
298,513,0.580896686
276,264,1.045454545
337,277,1.216606498
288,256,1.125
263,244,1.077868852
788,737,1.069199457
264,445,0.593258427
264,248,1.064516129
281,377,0.74535809
814,680,1.197058824
261,250,1.044
283,537,0.527001862
683,399,1.711779449
254,245,1.036734694
525,498,1.054216867
364,384,0.947916667
314,264,1.189393939
258,248,1.040322581
249,244,1.020491803
797,685,1.16350365
253,355,0.712676056
247,240,1.029166667
950,781,1.216389245
404,512,0.7890625
256,245,1.044897959
230,233,0.987124464
341,511,0.667318982
627,482,1.300829876
258,240,1.075
1017,852,1.193661972
299,267,1.119850187
278,257,1.081712062
802,639,1.255086072
242,240,1.008333333
259,255,1.015686275
294,280,1.05
454,628,0.722929936
259,274,0.945255474
417,650,0.641538462
259,246,1.052845528
766,661,1.158850227
282,257,1.097276265
511,286,1.786713287
458,370,1.237837838
389,288,1.350694444
480,476,1.008403361
249,246,1.012195122
254,246,1.032520325
549,522,1.051724138
259,242,1.070247934
1010,861,1.173054588
330,551,0.598911071
772,540,1.42962963
321,557,0.576301616
466,475,0.981052632
237,239,0.991631799
258,245,1.053061224
362,320,1.13125
687,669,1.02690583
266,254,1.047244094
282,252,1.119047619
365,611,0.597381342
244,242,1.008264463
432,246,1.756097561
275,245,1.12244898
596,547,1.089579525
266,255,1.043137255
268,269,0.996282528
312,266,1.172932331
284,467,0.608137045
342,459,0.745098039
949,771,1.230869001
288,266,1.082706767
516,625,0.8256
286,434,0.658986175
294,433,0.678983834
258,264,0.977272727
261,247,1.056680162
895,676,1.323964497
268,259,1.034749035
273,257,1.062256809
279,260,1.073076923
520,495,1.050505051
263,444,0.592342342
250,238,1.050420168
273,253,1.079051383
246,237,1.037974684
594,625,0.9504
245,235,1.042553191
335,246,1.361788618
828,655,1.264122137
252,248,1.016129032
337,403,0.836228288
259,278,0.931654676
259,277,0.935018051
1012,815,1.241717791
284,281,1.010676157
335,655,0.511450382
249,239,1.041841004
272,272,1
1023,792,1.291666667
669,722,0.926592798
296,438,0.675799087
654,606,1.079207921
281,331,0.848942598
268,248,1.080645161
1023,917,1.115594329
565,642,0.880062305
267,249,1.072289157
251,243,1.032921811
998,808,1.235148515
1023,802,1.275561097
267,246,1.085365854
267,250,1.068
634,671,0.94485842
337,293,1.150170648
247,244,1.012295082
268,251,1.067729084
275,258,1.065891473
934,653,1.430321593
984,688,1.430232558
983,744,1.321236559
462,269,1.717472119
305,252,1.21031746
278,263,1.057034221
287,299,0.959866221
286,259,1.104247104
965,814,1.185503686
599,458,1.307860262
741,631,1.174326466
262,250,1.048
914,755,1.210596026
395,293,1.348122867
467,464,1.006465517
632,430,1.469767442
871,780,1.116666667
347,575,0.603478261
749,619,1.210016155
247,243,1.016460905
315,250,1.26
828,496,1.669354839
264,247,1.068825911
424,473,0.89640592
940,754,1.24668435
261,248,1.052419355
535,458,1.168122271
823,313,2.629392971
999,752,1.328457447
1011,849,1.190812721
464,695,0.667625899
308,258,1.19379845
883,732,1.206284153
437,372,1.174731183
306,271,1.129151292
292,284,1.028169014
963,793,1.214375788
424,722,0.587257618
303,346,0.875722543
750,645,1.162790698
1023,920,1.111956522
258,247,1.044534413
266,256,1.0390625
398,398,1
570,381,1.496062992
275,253,1.086956522
312,282,1.106382979
262,245,1.069387755
249,245,1.016326531
927,851,1.089306698
300,262,1.145038168
961,774,1.241602067
294,269,1.092936803
258,252,1.023809524
243,240,1.0125
258,245,1.053061224
261,258,1.011627907
381,595,0.640336134
413,317,1.302839117
262,255,1.02745098
660,515,1.281553398
273,488,0.55942623
257,249,1.032128514
315,258,1.220930233
310,486,0.637860082
385,590,0.652542373
330,549,0.601092896
285,260,1.096153846
270,238,1.134453782
464,524,0.885496183
251,236,1.063559322
282,259,1.088803089
968,781,1.23943662
265,252,1.051587302
272,277,0.981949458
265,244,1.086065574
896,462,1.939393939
254,240,1.058333333
865,790,1.094936709
1023,911,1.122941822
481,239,2.012552301
264,245,1.07755102
389,272,1.430147059
462,522,0.885057471
280,303,0.924092409
311,476,0.653361345
353,634,0.556782334
275,252,1.091269841
675,463,1.457883369
270,251,1.075697211
250,241,1.037344398
788,680,1.158823529
1023,916,1.116812227
251,243,1.032921811
811,347,2.337175793
506,507,0.998027613
240,231,1.038961039
883,728,1.212912088
260,246,1.056910569
413,640,0.6453125
626,289,2.166089965
260,378,0.687830688
269,252,1.067460317
273,248,1.100806452
260,243,1.069958848
1023,850,1.203529412
865,394,2.195431472
566,643,0.880248834
888,721,1.231622746
884,612,1.444444444
304,315,0.965079365
1019,822,1.239659367
662,752,0.880319149
250,242,1.033057851
362,414,0.874396135
300,287,1.045296167
247,243,1.016460905
258,257,1.003891051
263,363,0.724517906
257,243,1.057613169
293,520,0.563461538
500,542,0.922509225
269,251,1.071713147
813,811,1.002466091
874,740,1.181081081
392,360,1.088888889
962,840,1.145238095
274,252,1.087301587
274,446,0.614349776
952,778,1.223650386
301,252,1.194444444
273,253,1.079051383
240,237,1.012658228
312,535,0.58317757
273,258,1.058139535
251,247,1.016194332
258,255,1.011764706
888,699,1.270386266
625,515,1.213592233
529,309,1.71197411
269,252,1.067460317
509,698,0.729226361
285,257,1.108949416
577,671,0.859910581
266,348,0.764367816
252,260,0.969230769
316,610,0.518032787
1004,816,1.230392157
401,594,0.675084175
873,780,1.119230769
417,570,0.731578947
273,253,1.079051383
290,288,1.006944444
340,474,0.717299578
321,265,1.211320755
266,241,1.10373444
676,628,1.076433121
252,245,1.028571429
264,251,1.051792829
243,242,1.004132231
507,663,0.764705882
323,557,0.57989228
415,552,0.751811594
275,280,0.982142857
1022,992,1.030241935
263,277,0.949458484
262,262,1
968,774,1.250645995
278,254,1.094488189
243,246,0.987804878
256,238,1.075630252
351,466,0.753218884
812,650,1.249230769
302,286,1.055944056
308,283,1.088339223
656,456,1.438596491
438,560,0.782142857
277,409,0.677261614
404,385,1.049350649
1023,649,1.576271186
252,239,1.054393305
262,247,1.060728745
392,615,0.637398374
1008,850,1.185882353
318,271,1.173431734
332,500,0.664
302,276,1.094202899
279,251,1.111553785
250,241,1.037344398
854,717,1.191073919
796,640,1.24375
358,622,0.575562701
999,855,1.168421053
617,670,0.920895522
960,794,1.20906801
299,268,1.115671642
244,242,1.008264463
255,243,1.049382716
244,237,1.029535865
307,283,1.084805654
383,391,0.979539642
256,246,1.040650407
264,507,0.520710059
907,763,1.188728702
1022,952,1.073529412
343,622,0.551446945
242,242,1
260,237,1.097046414
248,249,0.995983936
280,525,0.533333333
262,241,1.087136929
552,611,0.903436989
944,818,1.15403423
284,259,1.096525097
285,246,1.158536585
254,244,1.040983607
284,253,1.122529644
311,556,0.559352518
255,241,1.058091286
248,238,1.042016807
250,249,1.004016064
262,249,1.052208835
250,242,1.033057851
1023,876,1.167808219
277,375,0.738666667
256,246,1.040650407
969,812,1.193349754
267,255,1.047058824
972,684,1.421052632
234,234,1
717,676,1.060650888
988,824,1.199029126
271,245,1.106122449
293,586,0.5
693,697,0.994261119
473,701,0.674750357
274,327,0.837920489
824,646,1.275541796
300,273,1.098901099
917,800,1.14625
768,760,1.010526316
247,237,1.042194093
249,239,1.041841004
299,262,1.141221374
866,525,1.64952381
258,247,1.044534413
392,611,0.641571195
257,248,1.036290323
592,276,2.144927536
302,434,0.695852535
1023,897,1.140468227
707,531,1.331450094
843,637,1.323390895
261,254,1.027559055
358,275,1.301818182
266,250,1.064
869,739,1.175913396
259,246,1.052845528
243,240,1.0125
246,242,1.016528926
296,261,1.134099617
306,558,0.548387097
626,372,1.682795699
809,693,1.167388167
261,255,1.023529412
259,292,0.886986301
1023,938,1.090618337
243,238,1.021008403
408,666,0.612612613
1023,936,1.092948718
284,252,1.126984127
479,257,1.86381323
998,842,1.185273159
268,256,1.046875
289,454,0.636563877
249,245,1.016326531
970,810,1.197530864
263,252,1.043650794
333,521,0.63915547
272,253,1.075098814
937,758,1.236147757
1003,831,1.206979543
257,246,1.044715447
262,244,1.073770492
257,265,0.969811321
481,674,0.713649852
1009,831,1.214199759
254,246,1.032520325
283,252,1.123015873
309,356,0.867977528
349,305,1.144262295
512,438,1.168949772
271,649,0.417565485
248,235,1.055319149
