"GFP-A","mCherry-A"
1010.07,19579.8
9015.71,43078.2
1262.77,18573.4
760.704,20335.1
1749.02,63673.9
889.677,13302
4777.83,24465.5
2815.95,46792.8
1069.72,14571.9
648.755,28243.9
12333.6,33532.6
813.414,4308.1
2479.56,19402.5
1236.89,47430.4
968.986,6392.14
30026.2,62719.4
3460.2,76897
1599.39,38572.2
3978.32,35748.6
937.472,4868.4
798.208,11589.7
1402.6,3517.11
3839,53939.9
1198.46,24990.5
755.123,1684.12
1755.57,4722.07
1112.78,13536.5
1239.91,10701.2
654.848,948.045
664.704,4964.43
784.589,34825.8
683.546,15226.2
745.626,10286.3
1501.31,6518.17
5139.53,37999.5
913.869,2052.94
10455.8,18719.4
770.458,4510.26
3227.16,34543
1728.46,10744.9
40797,54275.2
682.573,54705.3
3988.45,39480
1498.5,31586.3
948.301,4046.11
1740.13,23203.9
5851.83,4806.63
841.498,7949.49
14335.1,69397.1
89635,82863.5
4138.88,47436.8
1588.17,6574.49
714.778,12857.2
2156.83,28704.2
656.307,2937.19
2060.16,84224
6479.31,3634.36
6885.53,43798.6
1340.52,22626.2
1414.27,457.37
4848.69,40429.9
647.347,10937.7
2390.53,25710
678.323,869.325
4734.23,10730.3
5258.24,27000.2
685.747,29818.1
1669.45,14152.6
858.88,4261.99
1040.92,45915.5
642.406,11423.9
1037.49,7672.19
809.446,14543.3
4141.67,70848.5
645.299,5410.84
1212.24,7754.32
2215.32,86271.1
1493.17,29433.5
945.434,4693.17
1419.08,8457.47
2394.47,21157.1
796.16,1064.7
17369.9,53961.5
1097.34,69922.4
825.958,25012.4
1700.99,6168.55
730.982,71740.5
634.394,8826.75
1412.4,19709.6
1072.72,21616.9
692.378,5069.06
1568.54,16213.9
641.613,817.894
7048.88,1367.17
1434.52,29333.7
2207.92,26468.8
1381.91,13602.4
717.005,757.606
3593.55,2355.2
2524.57,13687.6
687.693,5126.73
6882.56,77237.3
863.283,2791.19
721.766,5597.29
1193.7,24557.4
1238.45,5109.09
1176.17,10680.5
9823.56,43497.6
923.187,46205.3
2643.1,27717.1
790.989,31428.9
4199.86,27408.3
1081.93,15818.4
1328.31,15287.9
5071.08,86042
9982.59,84496.6
1321.8,14400.7
3746.1,17520.3
3254.68,21655.9
890.24,35401.5
824.806,19412.2
5366.89,49067.9
5233.89,26323.7
878.822,20766.8
1948.11,12690.9
670.95,592.102
6715.06,39255.6
5076.17,8165.81
935.142,5633.46
696.525,45436.4
3103.97,46590.3
6144.79,43362
48937.8,71456.8
1474.51,14162
12645.1,35102.7
760.269,24987.5
1719.12,79876.2
818.918,11453.5
1075.69,19364.1
2024.7,10042
934.758,39719.7
1084.52,3285.17
5892.74,54370.1
3965.9,64144.2
1034.32,23847.9
741.555,5680.05
906.317,1192.83
1010.56,4708.1
653.978,22550.6
759.014,11281.8
10410.5,71507.9
825.062,35902.9
1232.03,17517.9
4742.35,16433.5
4032.74,23359.2
1290.96,2464.05
7396.22,34936.6
5022.62,21553.2
2444.39,9717.73
3755.98,47775.6
801.075,470.528
2311.27,53712.1
9347.35,849.05
1805.26,20294.2
960.512,1805.64
1141.32,82468.3
6084.48,28244.6
2506.09,24034.6
4704.31,28591.3
6675.07,56605.3
2334.39,15595.5
1552,45314.5
721.894,4640.15
784.512,18937.1
787.558,5519.05
2932.35,6856.78
693.299,51504.5
6365.39,58067.9
2069.4,846.285
