"GFP-A","mCherry-A"
2885.76,6345.22
970.47,1024.67
683.904,854.784
1588.63,1968.31
2253.93,2425.27
1415.45,1125.25
706.022,730.957
2119.76,2492.19
1141.32,1300.97
877.107,992
1581.08,1902.87
1435.01,3593.65
3062.53,6675.05
1759.13,3434.62
935.424,1240.99
672.87,695.501
652.672,470.477
3550.05,3651.69
4702.16,5713.36
2346.98,6926.18
1083.98,2626.33
2923.57,6678.02
3799.27,4797.93
1750.48,3290.39
910.874,1093.79
898.586,3013.56
1098.32,921.472
8881.23,9471.16
1922.36,2640.31
682.803,761.139
868.173,879.053
873.114,942.669
804.045,2411.85
1044.1,3224.19
851.072,1129.86
930.79,1172.53
1207.83,1204.43
636.646,1394.71
1741.49,1780.74
1680.28,2030.72
676.659,1652.48
2449.89,2969.4
814.797,2428.24
3178.78,5092.38
11816.2,15747.6
3109.09,8059.62
7560.37,9359.21
2276.15,2255.23
6703.36,7504.08
2339.2,3138.15
4366.82,5304.19
16133.5,24364.2
3661.39,4259.89
727.398,2054.5
9528.37,12392
1156.1,2832.95
637.798,705.843
14964.5,16411.6
882.278,934.733
7094.53,9116.62
1359.16,1965.44
873.805,1011.97
808.397,1047.48
4637.29,6551.73
3641.86,3840.38
737.203,640.563
2414.52,3460.2
621.184,1826.15
8579.69,9064.83
3822.31,2909.8
660.122,2249.16
898.483,1192.81
4333.03,5513.01
5182.23,10212.4
661.325,2154.01
2286.75,4306.3
887.962,1088.77
1033.29,2775.88
1311.67,1439.31
4857.37,5883.47
2620.47,7775.97
837.606,1427.58
3507.53,4888.5
5635.81,4576.46
4462.67,7909.48
2278.94,6191.74
4923.98,6572.77
17791.6,19651.9
2598.35,6434.66
769.946,658.534
2215.81,2628.43
702.438,904.73
1017.34,1332.25
1152.74,1356.52
3394.71,3904.28
1065.57,1377.56
1713.33,3955.3
1376.15,1729.33
611.021,620.646
839.245,1680.33
7219.87,8147.87
956.058,2712.47
1078.45,2410.88
10636.8,11094.1
841.267,941.722
2354,7994.7
2098.76,5220.45
1988.3,2555.34
1889.1,2064.9
2303.21,3680.51
1672.6,1715.97
3840.05,6827.55
7485.59,10337.7
1435.57,1362.12
923.392,2669.36
64592.8,70270.6
