"Comp-FL03-A :: FITC-A","Comp-FL15-A :: mCherry-A"
23939.9,66314.4
159346,153549
25445.8,20651
13543.6,48201.4
182637,143552
44589.9,53464.4
67914.7,93586.9
22320.6,58358.4
53706.5,132519
59943.5,104477
89860.7,78449.3
23887,141540
22277,85900.9
33861,19222.8
24546.7,32591.3
20351.2,46143.6
82056.3,112946
41185.8,74221.7
134670,141600
57354.4,88564.5
123478,153695
35464.5,53706.3
46779,35884.9
16104.3,39038.4
52312.1,72358.7
41676.8,30152.3
145097,177674
69442.4,56386.5
52748.4,75811.3
86699.6,141810
169517,155019
125301,89264.1
27591.2,30380.8
39375.3,85506.8
32218.7,60513.4
26701.8,43348.8
82949,131700
145174,171302
12977.6,78535.4
25585.1,26721.5
31871,83981.1
51164.7,29845
20563.4,20968.6
91466.4,47997.6
65769.9,99523.1
49382.1,112485
91584.8,101825
77823.5,76563.5
58758.7,44970.7
29498.6,25692.3
37860.7,38773.7
29241.5,44284.2
39876.8,61458
132642,157708
170034,100206
16057.8,46652.6
11662.8,89516.9
97780,75173.7
17993.9,112054
171784,181566
43056.1,27250.9
66742.1,42515.6
48618.3,97831.7
77191,58931
49164.3,91246.1
63792.4,101508
80364.8,173230
122538,83239.8
12858.8,57907.2
11299.5,91341.1
48002.3,66450.9
61683.5,32163.7
11210.7,26249.7
67990.5,84120.2
67265.5,78582.8
66033.4,51803.1
28018.1,27943.5
11323.1,62424
53110.8,66047.2
32513.7,21951.8
29757,50903.5
28043.5,134471
165126,196906
41902.2,21539.7
12859.1,28600.3
95903.9,114392
15305.7,96723.1
37720.6,23759.8
21078.7,25046.3
60539.8,56850.9
41842.1,68585.3
32621.3,51096.1
19361.3,93204.7
16300.8,31909.4
47444.2,35237.9
18280.7,61318.3
116559,76625.8
60086.2,28575.8
31891.7,82109.8
52082.3,87952.1
148843,86666.4
23699.4,71512.3
23943,36722.4
34037,37268.1
66193.6,75339.3
11953.2,68584.5
66801.8,152388
79513.9,182361
48805.4,115305
54055.2,81702.7
39451.7,78013.5
21267.2,52401
58380.7,31477.7
40029,98863
188805,159830
63007.2,86864.6
19165.2,38475.4
33690.4,86953.9
17072,71991.1
97736.1,54237.2
92395,119612
80980.8,127596
89011.2,87051
112554,164160
126901,100621
143738,151888
45837.6,90865.9
52552.4,72594.7
34359.1,98995.9
50188.7,82613.1
20951,29075.7
57837.3,53664.1
98514.4,93626.7
48038.1,44694.7
12848.1,44192.9
25019,44376.5
62006.3,97788.6
83133.4,140645
21934.6,39430.6
42835.1,99814.5
65116.8,51985.7
15218.4,78903.3
15175.9,66629.5
75017.9,139139
12607.4,61857.7
46610.7,41570.6
