"Comp-FL03-A :: FITC-A","Comp-FL15-A :: mCherry-A"
70151.6,56297.8
46611.1,61112.2
46703.6,80100.5
25095.5,101933
187229,184595
11637.2,20286
74628.7,83641.4
78402.1,197123
18512.1,17657
13782.7,75860.1
94172.5,90482.3
23337.8,63309.1
70217.2,59425.9
89905.5,151997
85547.8,122302
80256.7,71118.4
32218.8,38518.6
56848.9,45052.8
41484.7,25730.2
45865.3,110216
16911.2,29131.4
13947.6,90781.7
27722.9,67183.3
162787,167239
13043.9,48102.9
57557.5,160892
100909,64386.2
24174.4,91046.9
87627.3,96146.7
43755.8,61428.1
41333.3,165709
141223,176232
16658.7,37210.3
19733.9,31084.1
81767.5,177631
63227.2,41518.3
164636,143336
21025,50300.9
131709,199155
33762,33922.6
64141.5,111553
27906,36919.7
111997,111813
83831.8,81034.1
176428,153625
42659.6,68344.6
46735.5,134092
60520.3,143227
54214.9,94363.6
17464.7,48873.4
125879,127772
17633.4,33588.6
20532.9,43834.3
80414.1,118978
17549.1,22532.7
57616.9,93284.4
12532.3,18114
37781.1,156405
94050.2,117117
19439.8,62973.7
39043,94461.1
52101.9,50796
91723.4,171292
87149,124112
13764,26637.7
75039,84676.6
13090.7,79097.9
31379.3,19490.1
48187.3,54753.7
40683.5,84116.7
11607,19336.8
93232.5,87743.4
28380.1,91105.8
113459,144138
13244.8,24466.9
34431,18031.2
21947,27958.1
23025.5,19625.9
136061,154029
12857.2,30422.6
20517,36563.1
13576.5,87084.2
44033.2,119100
119404,159566
33263,165826
26283.7,39713.4
47266.6,148512
13797.6,115004
53430.6,60352.2
58058.5,70336.7
30084.3,43473.6
15308.3,20482.2
136711,120085
31572.6,139132
105041,138326
26093,50789.5
20719,117831
44965.1,68385.8
32983.6,27177.4
55677.9,39731.5
56854.1,81079.7
58157,31116.1
34328.1,122740
19704.2,76759.1
35856.2,85165.7
68801.3,70381.7
108297,160420
38727.6,71600.3
41763.6,86745.7
17816.5,86351.9
117500,94303.4
55650.5,129761
49313.3,24735.2
24586,25126.9
28038.7,20916.5
21303.4,69383.9
46450.6,78151.4
33669.2,49815.3
67554.6,149976
38223.5,57777.9
34999.7,101790
49227.6,27040.2
25407.9,26576.1
67513,100550
19465.4,77535.9
135619,130233
21496,93709.1
17951.1,74894.9
21182.9,106382
64078.8,110045
38963.1,50122.5
20620.9,39328.8
37884,35944.9
36430.6,64672.6
160930,160175
25999.9,118086
76921.8,73715.9
12176.9,44123.4
36753,18251.6
157607,172653
12695.8,26263.8
19608.8,42451.5
23953.7,75048.7
57277.4,84477.6
27221.1,90941.4
46045.5,54577.6
82920.7,77665.7
144815,151831
87066.2,77530.8
63081.9,107837
33963.2,18436.5
57608.9,83818.4
14695,17480
15875.9,32854.9
24145.5,43928.7
95289.6,96168
147816,165805
91771.3,108983
11443.6,33227.7
77668.4,147892
23539.3,55915.6
33838.4,36797.2
27563,34050.7
53004.3,66221.9
16774.7,27064.5
27962.9,53741
40673.8,30224.8
27344.9,126771
38309.2,19967.4
21828.1,39388.8
56756.9,56155.3
67038.3,45509.5
13917.8,35281.7
35841.1,64683.3
44511.7,107797
58279.2,154082
140990,132794
38133.8,36120.1
15895.6,109052
32676.4,27560.8
31932.9,57253.5
39047.9,96634
41909.1,60194.6
55073.1,86239.4
55914.9,119803
38371.7,59061.6
33580.9,43603.4
67928.3,142706
11554.7,39498.9
24915.7,75024.4
30058.8,25595.5
33287.5,79511
98992.8,67598
22518,64879.1
43668.4,48969
95508.8,117312
42000.7,66945.1
107568,81009.2
59549.8,83394.8
41544.3,72167
37395.2,75843.4
148979,162166
27070.3,84817.2
47720.9,63805.2
91200.9,89928.8
125927,179038
49873.3,55950.5
113774,148343
16553.1,23450.1
126734,127328
36093.5,19078.8
73507.6,38987.1
72549.9,39971.5
87465.9,89660.4
16170.3,77634.4
32367.1,134679
32852.7,39967.5
60560,37636
106165,107042
71001.6,136500
30589.3,66496.8
95892.4,191129
110897,58289.5
83025.2,113965
47357.6,62329.1
15159.8,39420.6
136332,70129
175463,163592
38651.6,32634.6
82268,67274.9
105942,151816
75956.6,85549.6
56956.9,83394
54939,45808.1
66623.1,115916
164196,81079.8
60519.2,83869.4
12470.7,73376.1
66736.2,74062.2
48729.2,73389
12712.6,63884.2
52466.6,38372.5
78987.7,43972.2
73759.1,48509.2
27501,50608.9
12727.3,39910.9
17183.7,126062
52990.4,53840
24822.3,23807.5
43022.5,56370.7
67978.8,128155
21850.7,71852.3
23142.1,73361.9
20913.7,28215.4
59170,110943
45371.2,48072.3
26170.9,27732.5
136906,88790.9
148598,125585
86655.8,125772
30877.3,102134
128347,112597
65159.1,80134.8
69211.8,88483
57134.2,92428
25047,125407
19555.9,129638
40309.9,45271.4
29407.4,143857
108482,57064.6
42588,22112.5
41034.2,91899.5
18138.3,76187.6
16676.7,49351.3
58520.7,128273
114088,176583
28403.2,17845.1
27950.9,71626.6
140638,154090
107088,121829
17313.8,71038.3
27094.9,87387.2
15036.5,42612
44709.6,52279.5
34329.6,69866.4
37507.1,95243.9
16734.3,24981.3
128455,149185
24580.2,86205.9
132060,178783
105498,89958.8
32780.6,34712.2
36055.4,139218
165402,130253
65849.2,57438.5
122466,159878
23674.5,103230
52108.3,84703.2
45662.4,76820.9
60909,80163.1
29946.4,31004
17887.1,73781
52333.6,96801.7
11208.6,20362.6
82628.3,85614.1
19294.8,41188.3
21921.9,80894.3
18652,88071
38928.9,126654
35231.5,33897.5
15631.6,93630.7
126369,80770.7
95658.9,163720
112346,102378
21225.9,18317.1
27738.5,51523.4
107123,154430
43542,72826.1
46551.8,24991.3
54620.4,115643
135464,164351
96264.1,81407.9
94922.6,78216.2
14973.4,17812.4
57520.5,63070
51706.4,82768.4
62103.6,33321.4
87372.5,93368.3
17815.5,35752.2
112669,118239
32769.9,50087.2
157516,135828
175662,155678
150007,151001
18748.4,27825.4
88609,187300
52517.3,48218.7
37033,21649.4
66101.2,76799.1
27980,43825.7
135562,148776
158663,160398
75441.5,68707.6
17560.2,37367.7
34618.4,84070.8
45045.4,78479.9
50371.5,37318.4
90490.5,178121
75145.3,104792
61078.7,88436.1
162608,164162
63524.2,91391.7
74548,66975.1
16435.4,73199.3
118273,96278.4
47844.2,145953
40209.4,26933
17959.3,114070
25818.8,40999.4
54017.6,42432.1
67318.1,136586
35506.5,87646.5
111661,90349.7
89897.8,114312
32040.6,128024
12249.7,41080.4
33690.1,34499.8
34041.4,64493.9
17735.1,73639.4
125951,123404
20826.7,27170.7
61434.3,111554
18232.2,45776
32821.3,25913.5
80654.2,63183.5
29013.8,103247
77820,80581.8
28638.9,38451
21116.3,64724.7
51408.9,118822
168840,131627
40006.5,22607.6
42828.2,62294.7
37794.4,130103
109728,97653.7
33039.6,97966.7
35092,95381.2
32640.9,40915
55472.2,58304.7
93181.1,111899
19114.5,21263
27901.1,75164.9
74543.3,75390.8
65365.6,119895
25999.4,20555.3
49815.5,88658.9
92788.2,102978
12289.7,46081.4
16099.6,49922.7
20890.3,30537.3
10952.8,94490
169665,174766
19442.3,24724.6
47452.1,61050.9
47700.8,80614.8
30834.3,57379.6
73426.2,63643.4
15551.5,21949.4
35440.1,98993.2
73048.2,41020.5
24999.9,71439.6
92455.7,130105
61020.6,78899.4
136815,154257
19662.8,65539.5
40397.9,50956.7
43136.8,21940
16046,62183.7
38411.6,29726.2
89596.7,84573.7
46720.9,57494.3
90447.1,118952
35368.5,67762.4
16211.4,58682.3
136193,199208
49533.9,123365
164383,122212
11662.6,63638.6
15838.4,23341.3
32693,49822.4
43590.7,98447.3
21399.5,61268
48831,29317.2
18571,65611.6
68699.8,99393.8
146133,154703
99568.5,64296.2
134260,168022
33153.3,44219
33393.7,77744.4
19214.5,66154.9
183889,186344
34471,86112.5
16749.7,18935.6
98590.5,114165
38420.9,72231
15626.1,32973.6
68976.2,72667.7
23115.7,29468.4
11929.9,37528.7
24093.8,42344.5
73349.9,168519
16502.2,36598.5
19361.4,28486.8
40416.5,25990.3
93005.7,173884
30478.2,37305.2
54173.2,70786.4
17106.7,70785.5
31855.8,99300.6
48133.6,78986.8
65118.5,73423.4
38618.3,100172
135550,125663
21077.5,34420.7
11765.4,105429
79711.3,150879
34651.5,18447.7
40076.3,93029.6
14811,103349
47464.2,28762.7
20055.1,20729.5
33423.2,152546
13803.3,101078
12805,62285.6
12794,17981.2
29757.5,22965
27345.1,26718
40476,98462.1
66372,92945.2
45397.4,61984.2
41079.3,57693.5
58034.3,74576.7
68872.1,71059.9
63395,90081.7
67501.6,89270.2
25252.1,70729.8
168499,160819
158579,129417
53472.3,94538.9
46258.9,78898.9
19953.1,43668.4
58752.3,129410
21563.5,31947.7
12354,22344.8
37383.2,81334.8
40060.3,30476.3
34680.7,147186
73228,64109.4
58587.5,106870
14710.8,49457.1
156826,173155
30812.6,124550
61685.5,36153.4
114556,130701
11021.8,71658.8
95849.1,99142.4
54299,104450
79293.3,97087.9
12383,51442.8
144287,130368
40145.1,54141.4
39710.5,74420.6
16306.6,18693
122878,173506
12529.5,30604.5
20765.8,61122.3
77004.9,66656.5
68903.4,47033.6
43223.2,31160.8
91311.9,138197
39846.7,66678.5
24027.9,117745
59423.9,75308.5
98034.4,111378
17683.4,38068.8
14286.3,18410
43310.2,75605.9
51181.2,42868.7
77317.7,105713
27950.4,98644.6
30402.9,61287.2
41660.4,101361
52468.5,79467.3
30247.6,54045.2
16819.5,82291.6
36180.4,110897
12202.2,94333.5
15617.2,29887.7
28245.3,87008
37432.4,125600
77134,91230
25911.1,45476.7
55558.7,90067.8
20301.7,20245.8
22211.3,43076.2
187725,182999
16922.1,64754.3
61541.6,39626.6
19411.4,52225.1
94408.6,137809
50369,28102
26700.8,45929.7
37822.5,139973
70545.1,36446.2
165899,180219
46416.9,38978.8
20211.2,82569.8
72321.5,103760
55066.6,110669
62503.8,36477.8
86216.3,81169.7
21907.7,45931.9
130711,189438
173690,178418
81758.1,46273.5
38307.7,27975.3
20274.1,107816
43514.5,93616
89665.8,152214
68308.9,63051.9
24126.8,91713.5
38217.3,51198.7
64126.8,70414.7
31278.5,35737.6
34101,54828
65458.8,50131.6
16328,28791.4
83487,67979.2
123945,160963
12637,65294.7
136491,150314
98213.7,123965
22922.5,43265.3
36230.7,33833.5
26954.3,136773
61691.9,91013.3
170254,139030
98615,92145.9
52493.7,77219
21644.3,56532.9
12894.1,29764.4
18674.1,136997
149427,143390
142628,137035
28468.5,42006
83969.4,105574
91612.9,88058.1
28849.7,116156
113826,121541
24776.1,95273.7
74281,61323.6
192512,196990
64820.9,119851
24812.8,70607.1
39965,115024
99055,120588
56479.6,27418.4
151527,199577
18109.3,106129
52079.9,28654.3
19816.8,135687
14010.4,20118.5
77034,105820
115239,104001
64166.8,67962.5
92678.2,155735
20705.8,60911.7
27839.9,109590
112391,106556
30854.7,91195.9
27798.5,64027.6
66255.5,35043.8
18120.4,58319
107088,116168
135864,169837
13249.6,29675.6
108695,137486
115670,114878
50399.9,121006
20914.7,44540
29563.7,36039.8
76956.1,40586.4
103406,56604.7
48689.2,31356.4
77367.5,137315
34804.1,159495
78316,69264.6
28025.8,21075.4
24968.8,17578.6
15363.8,111144
27516.7,127134
119513,157740
113094,102623
34899.7,18717.7
18096,39639.4
62002.1,56628.2
30520.5,78546.7
41068.7,72006.6
89311,91244.2
60026.1,78798.5
25491,53608
48364.4,25106.4
29906.5,68801
140136,85823
29507.8,124731
13795.1,118617
53014.6,97918
29406.5,19468.2
19121.4,23426.4
32109.7,32290.9
64794.3,91144.6
40474.6,126366
24811.7,35449.5
89422.9,192099
14236.9,54225.2
31068.3,108044
172784,154784
42859.4,39301
11147,20504.4
23733.7,66356.4
37814.3,48707.8
29319.4,114058
42602.8,114462
21918.1,124664
94046.3,107633
65746.1,59725.5
123100,106774
15935.1,50821.2
31771.7,39658.8
54060.2,126941
21631.2,97580.8
47592.4,33103.8
22891.3,18768.4
28095.6,57474
41757.2,35393.4
143818,122711
11349.3,49158.5
63821,43436.5
36647.9,19579.7
43727.1,53595.2
72971.1,145995
54874.6,85969.3
125631,117032
52452.2,56507.4
31536.1,70836.8
146580,119616
95397.4,116287
18846.7,119649
26887.1,113720
136293,139553
21108.2,29715
19548.5,41138.6
14335,79014.5
47650.7,52807.1
19735.2,115249
39788.4,100603
50000.1,30610
25121.8,45610.4
21453.6,70658.6
88015.2,124405
61955.6,51662.8
100948,51471.4
34271.8,52803.9
18931.4,55218.2
56866.8,39833.4
97820.9,147656
82623.3,71490.2
49522.2,55257.8
74428.8,40290.2
27859,35570.6
27801,86076.4
14604.6,51388.1
166278,192571
21941.8,70441
137564,164363
31275.9,138743
47476.7,24677.3
55936.9,53013.6
16064.4,22612.4
48372.2,60854.1
86046.5,160477
23402.6,27314.7
50027.2,130781
108081,127457
26534.1,22724
16680.5,32469.7
137372,146324
24333.5,46095.6
39130.6,123293
51663.7,87433.2
16489.1,70182.8
65755.4,75432.1
173992,197507
23252.4,17407.9
56632.6,135241
22071.6,49803.6
56115.5,92310.1
62790.9,61963.8
40765.2,78555.1
61698.9,79641.1
41693.8,54773
65207.2,154187
113324,158333
33036.3,30182.8
25191.1,20087.7
37280.5,121783
59969.7,83248.4
18873.7,46720.2
14402.7,48779.5
91363.6,118085
29422.2,22632.3
80898.8,115006
11043.8,79416.3
12874.9,45275.2
40988.9,78878.2
30815.3,68472.3
41979.1,98899.8
54999.1,159578
44694.8,103369
69278.9,63625.6
43520.7,66724.7
14891.9,113633
111916,106707
22484.9,44910.9
100132,122930
12630.6,62122.3
69415.7,178457
28462.1,26797.4
59402.1,47317.6
29341,66926.2
118246,121117
117039,118226
55439.6,151486
39417.4,68188
87548.5,127003
121623,147514
12538.5,25992.9
94616.2,132408
11130.8,18397.5
69641.3,39513
63563.9,84788.4
77855.7,86389.9
44674,32959.6
39329.8,30380.4
165642,173515
10961.9,49018.2
171173,181885
38660.5,72326.1
89888.9,62806.2
50845.6,46162.4
61578.7,105982
21436.3,52865
14755.1,20669.2
31002.9,18030.9
52903.3,48635.6
44712.9,75349.7
22732.5,18522.6
18295.9,35643.2
38539.1,62078.4
13830.1,118912
42765.9,52267.9
18829.3,51895.4
126048,107531
16291.9,76029.7
18497.7,22798.5
181595,176532
17556,79071.6
25281,119657
124360,177766
28731.7,110306
92466.8,79736.5
96652.2,124598
61373.9,29295.5
12464.4,23249.7
60703.8,112345
113369,144095
160860,183349
39999,122024
31978.6,47239
82012.7,78905.7
56965.1,115095
53909.3,114790
56718.5,95443.7
46190.6,35885.6
27659.5,38998.3
184192,170755
49807.3,29698.1
136767,111234
38695.5,151526
81587.2,136168
123633,83708.4
43206,79326.5
35053,40621.7
67876.9,68481.4
50414.6,37484.4
73479.3,81671.7
59367.2,104632
36382.9,31669.2
135624,116889
41281,161168
104583,78540.3
103901,58266.8
69754.2,60599.2
67356.6,45239.8
151584,182903
28093,69659
61516.1,38536.2
50360.2,63301.6
13508.8,39696.8
53350.8,88561.4
53595.4,52263.4
94655.2,137301
24055,82784.4
48884.2,27874.6
77069.1,62673.6
41210.9,23674.4
25239.7,18508.9
53933.3,62024.7
45827.4,24109.2
37477.3,69719.9
11389.1,32517.7
93341.9,158780
34243.8,25676.7
35529.8,38573.4
17271.5,51628.2
42512.4,50595.6
67290.5,57791.5
12147.3,80625.7
76414.6,52309.6
159255,173160
14945.5,32215.2
12182.8,69477.6
86746.6,125952
27358.7,28594.1
57356.8,72947.2
113024,174202
33879.8,22483.5
68783.1,104567
142009,120056
45822.3,36359.8
82640.5,68061.4
51711.7,42174.2
62237.8,40861.8
22908.9,50104.7
25582.5,18247.3
131367,165780
74959.8,77431.6
73282.3,97343.5
19904.1,105329
12448.6,75500.9
45713.7,39004
16365.2,69816.2
71768,45179.3
155724,130694
15059.4,36022.4
38134.6,103539
23634.9,18356.3
19800.4,26456
120853,84329
142267,169027
28021.8,54158.4
16981.7,33025.7
69039.1,149614
83968.5,90739.4
95609.8,70485.9
181003,192201
139028,105479
55644.8,43006.6
54409.9,52252.6
36785.1,54981.7
19760,52450.8
84091.9,77865.4
40911.7,83299.5
72162.1,121097
30845,99388.4
63620.9,108455
21724.9,37652.7
123713,171178
13671.7,67687.2
164032,182811
12920.6,30112.8
29215.9,25010.4
41857.7,36337.7
21846.1,20699.5
35499,41013.8
79762.2,102978
43881.4,118998
36542.7,85331.9
79394.2,74825
49570.8,61352
53150.7,29466.5
24250.1,56559.3
65890.8,57395.7
33860.2,17968.5
58691.2,155273
29868.7,25805.2
16459,31430.7
92482,163703
150052,114350
86238.5,70098
20175.8,43836.7
48153.6,85221.9
29516.8,20160.6
51175.2,134542
55226.5,80869.7
17329.4,78620.2
36940.8,105805
34671.1,19205.9
53017.2,40740.4
14047.1,71875.2
75553.1,99646.2
12282.3,30763.6
25876.1,64873.4
13921.8,37243.7
66219.7,175690
48036.3,42527.9
93869.1,105107
11213.1,116132
57746.7,35897.6
52131.7,128439
43831.7,182704
53994,75684.7
55545.4,27223.7
23194.1,62026.2
12508.6,39132.9
53761.2,50065.3
84697.8,59372.2
88928.9,46357.5
24723.7,49634.9
35970.7,117398
99940.8,195504
95504.3,85440
43068.8,126168
109336,105658
92629.6,164091
107282,80476.7
108100,69783
28870.6,38337.6
18201,64691.2
150665,169217
14678,71140.8
124319,89528.2
54276.8,31461.6
109514,106881
12513.1,76292.1
11510.4,59141.6
14630.5,35185.1
11701.5,51172.2
104772,60397.7
12964.3,94384.1
88398.2,152820
11228.3,92421.2
34388.9,113496
71254.8,86439.7
15151.4,95767.8
57931.2,147530
101276,85200.5
51631.3,143073
34836.8,52636.3
29009.7,45712.4
85510.2,110309
66173.1,129897
11483.3,87395.8
79484.8,129490
148245,180026
85257.4,91364.5
12404,36754.7
12244.3,51206.3
57931.3,42477.8
68179.5,80163.2
76018.2,95078.4
47727.9,159006
18513.1,56124.8
157627,152384
14624.5,101935
140092,153171
16785.5,70450.5
45104.9,147035
87725.8,70587.6
50549,63743.5
104390,81997.3
12869.7,21994.9
52470.6,55177.8
68830,102834
97728.9,59896.7
32729.5,34531.9
100051,77479.8
70655.5,129690
114044,93575.4
12880.3,49141.7
13234.1,37801.9
29151.7,64541.2
12120.8,89688.9
51342.2,96261.5
24108.9,63544.9
79033.4,117087
42191.3,52184.1
49995.9,166045
153459,180066
13180,21499.3
81672.8,105096
147852,161177
37928.4,80719.6
17756,109967
15993.9,46189.4
91243.1,65092.8
105360,165563
68342.4,53773.2
39876.9,53275.3
67384.8,92163.7
10998.9,40007.7
161772,179613
39093.6,48693.1
15659.9,30299.9
38540,25795.1
60805.7,195259
20975.2,48629.9
38073.2,31277.1
25966.5,70756.2
15618.6,48060.1
37431.2,52491.9
13788.2,109473
45379.3,109459
25786.3,71457.6
115342,173348
96441.6,104298
86170.9,151019
125043,133824
167769,185669
75855.7,69836.9
32989.7,21430
41641.5,20011.9
17877.2,65278.4
42935,73552
24817,70731.5
25226.6,42000.6
23571.8,32140.9
120532,148783
40616.5,148469
73322.7,70906.9
124108,183236
36098.9,69686.8
31466.5,70226.1
16768.7,71319.9
19849.8,20726.6
73373.2,123547
13998.1,122421
23089.4,85939.2
22822,68425.3
105189,61598.8
58013.1,38065.5
29693.1,36054.2
48641.4,44457.5
42573.6,133756
18147.6,44635
59183.5,113311
90131.5,67794.3
24508.4,64563.8
39604.5,29699.6
61702.1,101445
45196.2,100545
13565.8,35892.9
23453.2,95476.2
67783.5,144640
27486.4,46840.3
31710.4,105297
73250.4,149812
54633.8,37333.8
17352,21266.7
34780.4,44842.5
38043.8,94950.6
27921.8,70739.4
42878,61976.3
16688.9,119461
43969.4,126544
76825.1,85791.7
83039.5,126213
53839.6,67419.6
36775,49621.7
51547.1,120066
114787,144181
88064.2,179335
17764.9,102692
88261.7,130140
18597.7,88559.8
51992.6,98522.7
37917.9,56723
36484.9,41205.6
184528,195863
172002,194497
23349.3,100242
45517.8,52423.6
138170,74473.7
41891.2,75871.5
93529.2,89047
40858.1,21022
36819.2,78282.1
27435.9,27471.1
162941,174825
25410.1,69808
22011.3,22266.4
27541.8,106124
32450,126339
44679.1,83204.2
39360,59207.3
15870.8,80451.1
56859.4,73204.9
23031.9,96405
29230,131158
125920,136032
21324.7,48633.1
22126.1,75081.5
126111,133833
28019.6,24782.8
155863,164274
49674.6,54427.3
76821.5,77311.2
124949,159076
33081.6,97347.6
39799.6,102794
52664.7,99565.4
188941,197759
55845.1,99656.2
24935.5,45059.6
56574.8,90620.6
36897.7,73959.1
109904,111846
59166.6,108936
106709,111208
80226.5,125474
15521.2,80255.4
184991,165815
24912.1,106759
44226,95772
64775.6,62888.1
89730.9,63431.6
13635,62394.4
75302.6,61957.6
109764,163951
93685.8,194413
104779,137247
14265.9,36891.9
46672,30939.4
12960.3,83361.3
94917.7,158344
15039.2,57503.2
49343.4,88213.2
15384.3,29317.9
61570.8,87534.9
25279.4,49862.3
31884.2,82217.4
11158.9,17695.7
24374.6,72930
40172.4,98643.4
22342.8,92670.7
105102,77182.3
78569.7,63357.8
137665,166028
68205.4,114575
87056.8,91322.9
16231.2,57394.7
88894.4,84918.2
69568.9,55677.9
87350.4,64899.9
20324.9,17083.3
30148.2,147183
149154,148546
40250.6,82332.8
156956,142443
119476,83914.4
36109.1,154945
78338.5,66279.9
13538.5,34712.5
21217.3,53465.4
64994.9,134406
29006.5,93185.8
12703.1,41661.1
30767.1,39636.6
38540.6,44271.8
55772.5,87675.5
59006.4,90801
11911.9,102234
16822.3,90741.9
128506,131203
39310.7,35270.9
39441.8,22908.9
123175,149089
20862.6,43786.4
11830.4,23758.3
20557.9,123652
18076.6,70376.2
90979.9,148812
33789.6,69255.1
11521.3,49375.8
38470,25173.9
75878,122412
26354.3,22886.7
111171,161805
30396.3,59748.1
15701.8,20699.6
36349.3,49441.9
58795.5,123690
17092.2,87880.9
68391.6,79488
61278.1,119290
111941,102740
34084.7,39022.6
36801.7,90520.4
32342.5,38528.1
45405.8,53272.5
31021.1,70346.2
14559.3,69233.7
119413,100426
27417.9,88652
13426.8,18685.6
133510,143167
41522.3,64061
24218.6,37830.7
12106.1,18444.4
52085.8,141446
26321.9,75404.5
22419.8,85317
95757,138026
117379,177146
65144.3,42492.6
37146.5,73145.8
51573.8,158128
105728,181257
86214.1,89138.3
11994.1,44394.4
29217.6,30477.7
108930,153406
133672,99331.5
39905.8,97202
64093.3,93681.3
12725.4,76615.7
34745,46140.4
18755.8,57768.7
30382.5,35512.5
79536.1,95772
43652.8,68353.4
67246.6,51147
33256.4,35164
21722.3,25706.7
79972.4,109815
32443.2,64106
12401.8,55841.7
167067,182083
61923.3,83212.9
52732.4,98455.9
16906,85866.8
12860.7,31146.4
14846.3,45476.4
27868,90939.1
91219.6,146490
22432.5,69175
55220.8,112259
70278.7,93026.3
76375.1,140459
32162.4,44342.9
29214.9,31419.9
19987.5,32347
73385.1,146031
83337.4,123422
88613.6,168743
57925,76077.9
124318,193459
15847.8,112154
16660.9,47713.5
18257.6,47081.6
171500,137612
35265.4,74739.4
20710.7,53896.7
14546,74917.5
21211.5,43710.2
32947.3,59027
60053.5,100637
12992.8,58779.2
152684,181399
90660.1,80167.6
23228.7,48697.2
178976,137731
11382,100233
61569.2,130312
26230.5,53657.7
18534.4,39664.3
40508.2,113272
91584.3,175659
88403.9,77382.3
145885,119800
17764.8,76773.7
65375.2,68183.1
30632.9,53422.8
23343.6,45301
135921,146713
23617.8,27016
49316.7,65050.7
51407.7,75912.5
50162.8,67190.3
96009.4,175552
31049.3,159996
91832.5,90764.4
99965.3,97909.4
36436.4,24192.3
40960.1,26438.6
20008,42143.3
13491.6,51167.7
12193.8,23048
57107.8,186123
34039.9,65920.6
120061,89523.9
39355.7,48029.5
42728.1,62353.2
30959.8,32911.1
27248.3,45147.3
80258.2,162254
59187.9,104093
39459.8,122346
36949.4,66944
53939,68016.7
35287.3,99064.9
51557.8,55708.9
139616,147896
74176.1,101961
60613,118687
30858.1,87453.8
69411.5,80654.4
78677.1,156789
86652.1,93931
156691,144363
59448.4,92401.7
20889.5,54520
41594.5,96004.8
27462.2,52881.8
37620.4,47288.9
21335.9,60223.2
34167.4,42756.4
31804.9,36272.6
17443.1,113168
53189.4,27154.2
56006.9,61060.2
26714.8,34707.8
36463.2,113027
172763,190433
54041.9,39070.5
12738.4,108092
33110.7,44734.8
19393.4,99812.5
37371,25360.9
17436.1,79085
14973.7,39623.1
70640.9,106697
11109.2,72248.5
71336.8,37895.2
11650.1,76719
66383.9,121002
164493,159117
33826.2,161694
26247.3,56031.5
32986.1,40949
151151,143744
43478.8,74048.4
66277,46562.8
40113,101069
63147.4,85338.5
18275.7,77490.9
32168.8,31115.5
12920.1,30666.4
22326.7,30258.4
31979.5,37473.5
25782.3,87583.6
13315.7,17481.5
19959.4,37594.6
43774.1,91322.7
12837.3,48241.6
75732,80464.7
46768.5,43815.2
100638,116768
128466,127869
18093,94423.8
47476,22084.6
20985.3,144432
176642,182569
47400,81373.1
12385.7,78977.9
86613.7,88905.3
11835.7,101574
24054,42382.5
25659.8,92568.8
11394.8,38233.2
71822.7,130152
33953,75626.4
86024.1,116192
13322.9,74103.6
14390,46984.9
87008.7,166815
143141,159836
20656.1,109349
36682.2,83097.8
169553,168221
62949.7,119267
32400.2,156898
88446.2,134810
33457.4,93377.4
36969.5,84804.7
23506.1,74726
24361.3,121091
25762,105297
84152.5,173098
159678,113729
92194.4,134313
32661.8,73508.1
17892.5,110285
41697,59065.8
139100,135641
32867.9,29475.5
99680.6,147715
124863,115296
78239.2,70190
126919,158914
53447.6,153918
29553.5,141434
40045.8,24001.1
153579,140712
72073.7,34241.6
55652.1,104041
83707.7,90668.4
53283,146130
12291.6,23013.6
91558.9,113132
29989.8,62615.6
21073.9,71049.6
49283.8,139213
35522.1,58223.5
26706.5,64304.5
68909.3,38286.1
37696.8,28131.8
97116.7,127642
16660.6,23421.2
29910.1,19261.6
16390.6,39431.6
19687,40723.1
30874.2,124682
19834.9,30075.5
14362.1,62098.5
39775.7,41036.7
42330.6,127338
45004.7,50470.2
174669,155337
100014,162738
13459.6,88723.7
30717.9,39029.9
53944.6,32250
158884,193598
42477.9,58556.2
11716,55678.3
30256.5,75608.2
51245,57724.8
61277.4,126086
63552.5,138541
52135.7,92887.2
15153.7,99365.8
13290,39558.1
13628.1,71434.4
84692.7,67013.2
12544,76863.8
13686.6,70831.5
23320.4,98293
47579,77524.3
30101.4,47985.2
15164.2,29789.2
32156.9,83675.1
53218.6,144665
27812.7,17628.9
50946.1,62439.3
84374.7,122579
21501.2,129437
19910,60043.6
24349.8,30459.4
12826.4,101469
102462,152284
24707.9,28597.4
20973.4,29072.7
71341.2,121809
156356,169834
40342.8,172704
23231.1,44840.7
83344.7,61912.1
18179.2,85058.8
43922.8,26055.4
137115,137333
135389,188544
14715.6,52431.1
11174.4,27457.4
22265.5,73743.3
45802.3,114460
128767,159691
57190.7,56042.7
20015.5,56750
102130,119251
27790.7,36630.7
52392.2,29372
185778,168763
70809.1,49469.9
136413,181659
22689.2,63424.2
166460,158763
26274.3,47612.5
30642.8,59250.3
11795.5,32272.2
172587,104036
159351,114716
18089.6,62604.4
19528.6,27858.7
71127.8,56893.6
43971.6,115972
15190.9,67060.7
131860,146403
37906.1,129721
16144.5,23099.3
44096.4,51172.4
24245,38105.1
43803,25434.1
12446.4,19118.5
134922,179198
29783.5,23256.3
32712,53433.5
65121.4,74549.5
42849.1,61692.9
35566,65393.9
59668.9,76331.3
61771.6,145012
21185.3,114057
115362,103226
41232.2,39302.5
16041.3,34978.9
154855,153051
33626.8,55348.4
16577.6,53196
123709,177512
132073,134728
12538.1,50001.3
36068,106477
91905.5,154737
125634,155837
32950.1,44844.3
54161.9,50439.7
82071,143016
39113.2,107020
40907.1,53732.5
