"FITC-A","mCherry-A"
15671.4,24211.1
44934.8,43544
76331.9,85500.4
58619.6,81775.5
21629.6,114403
83826.5,134321
16541.5,36788.9
51066.1,62562.1
160584,177670
132712,147729
102627,102398
71400.3,51456.7
36374.1,44019.5
114645,87759.9
107298,103064
16890.6,42233.7
13783.1,66298
151871,97490.4
117104,119784
71896.8,67711.3
23564.2,54016.9
33252.8,37618.9
93713.1,46240.3
52019.8,32950
76729,76221.3
54489.4,139669
197925,192499
12539.3,17951.8
66091.3,99985.5
32312.7,101212
43796.5,30810.9
140589,190673
106560,140953
12668.5,107696
37400.6,38168.5
103174,92003.2
23507.9,36256.4
27039.8,88594
89919.4,49014.8
62106.3,70330.7
83930.6,47913
101415,139786
33020.5,93739.2
166795,155294
35288.1,62401.2
46610.8,97073.6
53216.5,163469
31639.2,73945.3
35229.6,57712.8
11687,41948.9
102181,161066
17466.8,65937.2
20962.7,134544
33620.6,25933.5
63432.3,117078
23595.3,67070
136043,82954.1
41855.4,58269.7
38042.6,61009.9
79355.9,156449
23433.5,112213
47974.2,35725.1
141729,148392
33313.7,130245
53713.8,34711.5
161546,160786
21096.3,146699
118389,110857
21740,61588.2
21260.3,53733.7
30710.7,24139.9
180861,122789
64550.8,98677.3
137970,163852
121713,65453.5
26918.8,121859
24442.1,27636.9
153499,126996
82385.5,44134.7
25312.2,30573.1
78899.5,97639.9
71037.5,51995.5
131709,102949
60792.3,86502.8
164350,157370
106005,163363
17880.7,81296.6
164642,148481
116987,102757
15823.9,50840.7
23526.6,90721.7
16218.3,98324.7
152027,148832
116106,72537.5
153792,175924
92330.2,142767
76858.1,85030.9
63962.9,119196
23464.9,38356
132523,126180
35417.9,48990.5
117957,112239
17783.1,75710.9
183044,149828
34480.7,50445
55073.8,122963
107247,77572.8
64651.4,91675.9
52595,159807
36433.7,54272.1
28422.9,20939.2
38207,66007.4
20564.8,27419.3
178163,188185
52391.8,107101
20525.8,36383.4
88893,132429
150501,114879
50270.9,84598.1
16016.5,27123
30448.3,113837
90891.9,91782.9
57083.6,27197
46578.4,49630.5
32283.4,32304.7
30670.2,44479.4
67241.5,99823.9
49940.6,94737.8
108281,88401.4
15926.3,24836
178755,150617
78875.9,113224
48933.5,104843
89296.8,134980
14284,17375.3
17398.6,26318.5
123976,118837
40601.2,83654.2
14084.8,17397.7
40449.3,99451.9
147656,144496
179711,193706
127014,97730.2
38179.5,111414
130549,125903
12230.7,48992.1
80907.1,40737
43281.3,47543.6
30418.2,24434
42842.5,111062
11680.5,31450.2
127184,66556.1
171488,151871
89021.1,69994.2
155464,187553
177118,132988
89875.8,133463
187091,162108
103216,54010.5
