"GFP-A","Nile Red-A"
337,652
289,664
319,516
460,403
338,731
571,684
275,574
338,592
303,630
249,458
267,647
570,632
398,480
471,646
324,658
266,623
515,657
252,489
374,681
282,521
311,622
266,614
389,538
622,687
638,564
511,704
442,725
475,501
612,505
315,675
270,411
276,612
443,754
582,610
256,490
490,706
314,611
393,704
274,423
469,501
518,574
302,685
261,593
434,676
249,409
277,532
331,729
273,510
638,775
497,672
617,714
275,489
262,425
585,763
269,532
324,677
257,489
286,628
479,738
352,563
278,636
620,537
353,651
317,688
279,621
418,590
282,477
288,704
270,550
250,413
432,617
310,646
368,718
466,633
652,676
269,603
278,596
554,620
276,635
245,467
433,407
432,582
311,721
617,690
310,587
248,461
325,683
266,573
270,613
299,696
256,543
541,658
289,358
459,618
366,524
253,522
536,540
373,674
255,390
344,711
287,642
473,548
292,613
371,657
372,730
449,738
448,566
251,378
447,742
250,547
601,635
280,696
285,603
294,572
297,577
272,572
258,391
271,405
245,383
575,702
295,620
604,726
635,692
276,579
281,615
494,662
285,695
275,624
475,473
248,468
485,706
283,609
282,644
257,552
314,628
348,369
256,514
254,461
275,635
492,445
272,590
317,440
329,546
349,396
527,736
330,616
455,614
348,571
314,665
540,569
401,541
244,369
349,679
284,669
342,630
282,585
270,616
349,462
263,477
292,584
285,540
262,579
266,651
242,358
284,676
581,668
501,762
265,569
263,562
268,663
282,616
252,465
285,587
340,573
342,553
266,557
260,603
303,373
264,583
248,536
316,548
291,631
269,461
278,574
513,729
271,611
298,596
272,595
275,542
302,682
261,570
291,623
277,677
455,520
390,667
307,702
569,709
449,439
282,617
370,725
326,613
381,641
281,595
322,687
259,476
349,672
254,433
334,689
330,703
305,487
298,628
423,541
450,537
269,599
363,494
257,469
246,373
290,597
261,605
263,617
344,663
288,655
269,606
361,432
353,593
271,425
569,768
249,434
521,439
253,493
490,685
588,510
431,716
289,610
268,433
521,509
484,385
545,701
272,579
261,477
294,669
267,635
254,582
306,399
393,737
308,419
271,612
277,653
323,732
270,589
530,581
570,668
301,556
273,577
354,684
271,628
559,538
383,715
270,524
346,632
250,494
248,387
375,755
288,650
255,495
610,611
328,468
318,690
252,549
422,474
572,737
264,542
330,644
594,666
625,762
471,674
259,507
643,591
253,505
240,391
345,665
269,632
648,672
280,491
301,507
279,440
422,729
529,711
628,614
292,530
350,384
288,616
274,602
437,678
266,547
317,709
534,770
397,747
255,472
273,659
273,601
256,362
254,539
585,675
303,701
522,671
256,545
261,511
480,693
374,670
337,737
309,562
251,439
603,789
294,650
522,663
252,448
299,648
327,653
248,360
598,781
361,564
270,665
274,483
256,416
510,478
324,590
326,718
437,706
286,603
290,678
474,697
283,639
455,740
306,464
365,538
245,475
636,774
505,734
520,693
357,426
388,625
265,636
265,615
289,680
256,459
499,610
312,436
323,630
258,570
588,725
609,791
265,501
305,604
395,443
271,609
265,599
267,373
438,604
279,515
248,542
630,633
273,576
609,687
307,605
249,534
269,493
258,380
311,650
392,392
349,594
253,515
276,496
258,608
598,544
252,556
285,639
634,715
253,531
294,660
572,773
247,432
597,748
515,602
247,420
651,687
257,519
325,720
269,463
272,636
326,601
490,740
304,703
488,596
301,621
609,744
406,697
288,630
252,533
468,622
293,483
522,574
354,628
353,620
290,672
601,641
638,684
250,504
330,743
258,414
358,534
251,413
267,510
274,600
350,690
350,706
277,639
473,579
250,511
402,691
332,713
430,743
276,597
477,621
513,396
289,671
277,686
293,697
330,699
598,653
481,679
315,658
331,730
318,640
434,649
344,644
394,653
355,639
256,515
316,374
250,544
328,650
304,640
528,775
547,749
300,677
251,369
357,653
323,393
521,506
314,639
321,397
284,447
260,594
262,608
336,664
260,523
286,664
276,376
304,665
392,689
266,526
276,603
327,440
336,495
306,543
281,638
518,503
279,574
477,661
422,735
274,516
267,479
571,439
275,583
462,648
253,559
268,585
266,515
486,577
415,494
260,474
283,438
465,709
405,695
249,406
249,385
304,742
562,693
332,672
296,677
269,455
632,702
280,630
320,692
487,744
270,591
634,648
371,752
279,630
321,674
325,666
277,475
320,400
392,727
260,537
296,619
269,576
271,607
335,561
376,730
352,391
269,571
479,740
316,613
530,523
577,625
394,599
275,612
298,642
245,391
248,559
282,638
319,549
266,618
289,647
278,499
501,672
251,461
343,678
292,539
266,411
569,652
262,569
290,646
619,726
422,734
417,730
272,611
268,427
282,619
484,392
249,419
284,580
254,408
257,450
314,598
280,604
545,717
318,605
253,547
292,596
460,747
252,366
251,508
317,451
604,636
251,423
650,691
304,562
