"x"
-79
-78.5
-78
-77.5
-77
-76.5
-76
-75.5
-75
-74.5
-74
-73.5
-73
-72.5
-72
-71.5
-71
-70.5
-70
-69.5
-69
-68.5
-68
-67.5
-67
-66.5
-66
-65.5
-65
-64.5
-64
-63.5
-63
-62.5
-62
-61.5
-61
-60.5
-60
-59.5
-59
-58.5
-58
-57.5
-57
-56.5
-56
-55.5
-55
-54.5
-54
-53.5
-53
-52.5
-52
-51.5
-51
-50.5
-50
-49.5
-49
-48.5
-48
-47.5
-47
-46.5
-46
-45.5
-45
-44.5
-44
-43.5
-43
-42.5
-42
-41.5
-41
-40.5
-40
-39.5
-39
-38.5
-38
-37.5
-37
-36.5
-36
-35.5
-35
-34.5
-34
-33.5
-33
-32.5
-32
-31.5
-31
-30.5
-30
-29.5
-29
-28.5
-28
-27.5
-27
-26.5
-26
-25.5
-25
-24.5
-24
-23.5
-23
-22.5
-22
-21.5
-21
-20.5
-20
-19.5
-19
-18.5
-18
-17.5
-17
-16.5
-16
-15.5
-15
-14.5
-14
-13.5
-13
-12.5
-12
-11.5
-11
-10.5
-10
-9.5
-9
-8.5
-8
-7.5
-7
-6.5
-6
-5.5
-5
-4.5
-4
-3.5
-3
-2.5
-2
-1.5
-1
-0.5
0
0.5
1
1.5
2
2.5
3
3.5
4
4.5
5
5.5
6
6.5
7
7.5
8
8.5
9
9.5
10
10.5
11
11.5
